,SPY
2015-09-20,"['-5.222', '27.264', '22.612', '-1.4369999999999998', '-3.1689999999999996', '13.6', '12.368', '-1.3559999999999999', '237.0', '930.596', '494.156', '-1.4040000000000001', '0.451', '0.545', '0.036000000000000004', '2015-09-20']"
2015-09-21,"['7.537999999999999', '26.318', '22.838', '-0.8220000000000001', '5.516', '13.327', '12.439', '-0.628', '680.0', '900.618', '483.785', '-0.456', '0.396', '1.4', '-0.266', '2015-09-21']"
2015-09-22,"['10.484000000000002', '25.854', '22.816', '-0.674', '4.261', '12.857999999999999', '12.517000000000001', '-0.687', '1132.0', '866.6410000000001', '464.805', '0.5710000000000001', '0.36', '1.484', '0.07400000000000001', '2015-09-22']"
2015-09-23,"['19.305', '23.99', '21.199', '-0.221', '11.296', '11.92', '11.517999999999999', '-0.054000000000000006', '1205.0', '867.9860000000001', '466.209', '0.723', '0.32899999999999996', '1.334', '-0.37', '2015-09-23']"
2015-09-24,"['18.105', '23.686', '21.285999999999998', '-0.262', '9.621', '11.984000000000002', '11.450999999999999', '-0.20600000000000002', '1262.0', '872.245', '469.414', '0.83', '0.32', '1.642', '0.155', '2015-09-24']"
2015-09-25,"['61.867', '26.627', '22.6', '1.5590000000000002', '40.016', '13.847999999999999', '12.939', '2.022', '1260.0', '884.7639999999999', '469.735', '0.799', '0.316', '1.517', '-0.066', '2015-09-25']"
2015-09-26,"['20.416', '26.763', '20.788', '-0.305', '8.597999999999999', '13.54', '11.493', '-0.43', '823.0', '920.785', '446.905', '-0.21899999999999997', '0.32899999999999996', '0.732', '-0.021', '2015-09-26']"
2015-09-27,"['9.655', '27.295', '21.199', '-0.8320000000000001', '5.876', '13.835', '11.592', '-0.687', '246.0', '925.671', '452.786', '-1.501', '0.447', '0.49700000000000005', '-0.036000000000000004', '2015-09-27']"
2015-09-28,"['-6.289', '25.276999999999997', '22.264', '-1.4180000000000001', '-9.852', '12.302999999999999', '12.545', '-1.766', '792.0', '938.363', '441.38199999999995', '-0.332', '0.385', '1.571', '0.11', '2015-09-28']"
2015-09-29,"['7.7860000000000005', '22.822', '18.729', '-0.8029999999999999', '8.032', '11.512', '9.916', '-0.35100000000000003', '1566.0', '945.0110000000001', '472.564', '1.314', '0.307', '1.723', '0.24', '2015-09-29']"
2015-09-30,"['48.506', '23.689', '21.13', '1.1740000000000002', '33.565', '12.251', '11.854000000000001', '1.798', '1314.0', '944.823', '472.392', '0.782', '0.313', '1.62', '-0.094', '2015-09-30']"
2015-10-01,"['37.338', '23.906', '20.999000000000002', '0.64', '22.955', '12.363', '11.41', '0.9279999999999999', '1264.0', '953.091', '476.539', '0.652', '0.40700000000000003', '1.392', '0.102', '2015-10-01']"
2015-10-02,"['32.68', '23.735', '20.676', '0.433', '14.870999999999999', '12.002', '11.084000000000001', '0.259', '1411.0', '983.326', '483.538', '0.884', '0.28300000000000003', '1.726', '0.139', '2015-10-02']"
2015-10-03,"['55.972', '27.054000000000002', '21.73', '1.331', '25.659000000000002', '13.627', '11.390999999999998', '1.056', '948.0', '1017.627', '441.76099999999997', '-0.158', '0.373', '0.655', '-0.022000000000000002', '2015-10-03']"
2015-10-04,"['13.495', '26.054000000000002', '21.509', '-0.584', '9.165', '13.258', '11.337', '-0.361', '248.0', '1021.5980000000001', '462.76800000000003', '-1.672', '0.536', '0.467', '-0.048', '2015-10-04']"
2015-10-05,"['22.503', '25.461', '21.256999999999998', '-0.139', '17.471', '13.168', '11.215', '0.384', '664.0', '1012.518', '465.389', '-0.7490000000000001', '0.425', '0.7809999999999999', '0.069', '2015-10-05']"
2015-10-06,"['70.066', '25.594', '22.574', '1.97', '51.66', '13.690999999999999', '13.708', '2.77', '1258.0', '1010.831', '479.52099999999996', '0.515', '0.325', '1.337', '-0.061', '2015-10-06']"
2015-10-07,"['29.813000000000002', '23.505', '19.795', '0.319', '22.904', '12.342', '10.683', '0.9890000000000001', '1099.0', '994.4730000000001', '470.79900000000004', '0.222', '0.33799999999999997', '0.695', '0.037000000000000005', '2015-10-07']"
2015-10-08,"['32.312', '25.201999999999998', '20.956999999999997', '0.33899999999999997', '18.489', '13.308', '11.054', '0.469', '1005.0', '961.7560000000001', '441.32199999999995', '0.098', '0.342', '0.643', '0.083', '2015-10-08']"
2015-10-09,"['41.897', '26.596', '21.258000000000003', '0.72', '25.546', '14.353', '11.312000000000001', '0.9890000000000001', '1215.0', '977.319', '441.72900000000004', '0.5379999999999999', '0.32299999999999995', '1.524', '0.149', '2015-10-09']"
