,SPY
2016-03-31,"['8.359', '17.842', '14.37', '-0.66', '5.321000000000001', '9.109', '8.103', '-0.46799999999999997', '756.0', '628.344', '308.185', '0.414', '0.36200000000000004', '0.815', '-0.12300000000000001', '2016-03-31']"
2016-04-01,"['16.581', '16.861', '12.408', '-0.023', '14.866', '8.888', '7.649', '0.7809999999999999', '973.0', '634.139', '307.099', '1.103', '0.327', '1.817', '-0.035', '2016-04-01']"
2016-04-02,"['16.215999999999998', '16.967', '12.349', '-0.061', '9.237', '8.728', '7.465', '0.068', '542.0', '642.174', '285.712', '-0.35100000000000003', '0.4', '0.527', '-0.102', '2016-04-02']"
2016-04-03,"['8.019', '16.584', '12.58', '-0.6809999999999999', '6.0489999999999995', '8.493', '7.479', '-0.327', '212.0', '643.068', '300.524', '-1.4340000000000002', '0.486', '0.529', '0.019', '2016-04-03']"
2016-04-04,"['17.469', '16.322', '12.425', '0.092', '12.562000000000001', '8.588', '7.59', '0.524', '513.0', '633.759', '300.793', '-0.401', '0.41700000000000004', '1.28', '-0.245', '2016-04-04']"
2016-04-05,"['-2.3169999999999997', '15.847999999999999', '12.968', '-1.401', '-1.308', '8.2', '7.928999999999999', '-1.199', '806.0', '630.411', '306.848', '0.5720000000000001', '0.33399999999999996', '1.38', '0.187', '2016-04-05']"
2016-04-06,"['-10.055', '14.18', '13.909', '-1.742', '-2.693', '7.47', '8.193999999999999', '-1.24', '770.0', '613.506', '287.562', '0.544', '0.374', '1.281', '0.094', '2016-04-06']"
2016-04-07,"['31.586', '13.698', '12.965', '1.38', '15.911', '6.978', '7.751', '1.153', '824.0', '610.515', '283.339', '0.753', '0.35200000000000004', '1.409', '-0.15', '2016-04-07']"
2016-04-08,"['8.627', '12.842', '12.677999999999999', '-0.332', '9.366', '6.787000000000001', '7.61', '0.33899999999999997', '913.0', '628.481', '290.057', '0.981', '0.353', '1.6059999999999999', '0.066', '2016-04-08']"
2016-04-09,"['6.124', '12.539000000000001', '12.783', '-0.502', '5.686', '6.593999999999999', '7.58', '-0.12', '460.0', '639.434', '275.097', '-0.652', '0.39799999999999996', '0.526', '-0.027999999999999997', '2016-04-09']"
2016-04-10,"['6.507000000000001', '12.237', '12.705', '-0.451', '4.625', '6.375', '7.504', '-0.233', '198.0', '636.474', '283.647', '-1.546', '0.485', '0.514', '0.042', '2016-04-10']"
2016-04-11,"['5.388999999999999', '12.537', '12.440999999999999', '-0.575', '1.571', '6.575', '7.162000000000001', '-0.6990000000000001', '474.0', '625.443', '283.245', '-0.535', '0.424', '1.032', '0.032', '2016-04-11']"
2016-04-12,"['-0.551', '12.447000000000001', '12.639000000000001', '-1.028', '0.315', '6.5920000000000005', '7.18', '-0.8740000000000001', '966.0', '629.488', '295.45', '1.139', '0.342', '1.5830000000000002', '0.079', '2016-04-12']"
2016-04-13,"['50.292', '15.082', '14.786', '2.381', '35.365', '8.533', '9.329', '2.8760000000000003', '908.0', '624.729', '290.04200000000003', '0.977', '0.34600000000000003', '1.473', '0.024', '2016-04-13']"
2016-04-14,"['43.494', '15.309000000000001', '14.68', '1.92', '23.358', '8.356', '8.265', '1.815', '840.0', '635.57', '292.682', '0.698', '0.348', '1.123', '0.124', '2016-04-14']"
2016-04-15,"['22.974', '16.209', '15.959000000000001', '0.424', '12.517999999999999', '8.782', '8.621', '0.433', '739.0', '664.288', '278.35400000000004', '0.268', '0.36700000000000005', '0.8340000000000001', '-0.214', '2016-04-15']"
2016-04-16,"['7.295', '16.008', '16.029', '-0.544', '3.6719999999999997', '8.568', '8.646', '-0.5660000000000001', '458.0', '675.91', '261.222', '-0.8340000000000001', '0.402', '0.49', '0.017', '2016-04-16']"
2016-04-17,"['12.21', '16.381', '16.073', '-0.26', '8.06', '8.692', '8.594', '-0.07400000000000001', '227.0', '681.332', '272.539', '-1.6669999999999998', '0.445', '0.494', '0.044000000000000004', '2016-04-17']"
2016-04-18,"['7.087000000000001', '15.512', '16.142', '-0.522', '6.795', '8.373', '8.56', '-0.184', '628.0', '674.823', '270.355', '-0.17300000000000001', '0.39', '1.3840000000000001', '0.36', '2016-04-18']"
2016-04-19,"['39.506', '15.520999999999999', '16.24', '1.4769999999999999', '22.919', '8.201', '8.672', '1.6969999999999998', '860.0', '658.1080000000001', '267.777', '0.754', '0.35700000000000004', '1.391', '-0.11599999999999999', '2016-04-19']"
2016-04-20,"['29.724', '15.995999999999999', '16.697', '0.8220000000000001', '17.88', '8.721', '9.096', '1.0070000000000001', '783.0', '651.9540000000001', '262.89', '0.498', '0.37', '0.7959999999999999', '0.321', '2016-04-20']"
2016-04-21,"['11.036', '15.739', '16.55', '-0.284', '3.91', '8.323', '8.982999999999999', '-0.491', '735.0', '648.851', '261.397', '0.33', '0.397', '0.8240000000000001', '0.004', '2016-04-21']"
2016-04-22,"['-1.8130000000000002', '14.779000000000002', '16.918', '-0.981', '-1.2009999999999998', '7.881', '9.172', '-0.99', '794.0', '652.217', '258.96', '0.5479999999999999', '0.37200000000000005', '1.44', '-0.153', '2016-04-22']"
2016-04-23,"['12.317', '15.072000000000001', '16.756', '-0.16399999999999998', '7.6770000000000005', '8.119', '9.033', '-0.049', '450.0', '660.7439999999999', '242.428', '-0.8690000000000001', '0.44', '0.473', '0.033', '2016-04-23']"
2016-04-24,"['7.2170000000000005', '14.360999999999999', '16.839000000000002', '-0.424', '3.858', '7.582999999999999', '8.998', '-0.414', '177.0', '656.2819999999999', '254.65599999999998', '-1.882', '0.486', '0.46', '-0.025', '2016-04-24']"
2016-04-25,"['4.107', '14.798', '16.516', '-0.647', '-0.22399999999999998', '7.735', '8.891', '-0.895', '505.0', '642.624', '251.69799999999998', '-0.547', '0.408', '1.358', '-0.10800000000000001', '2016-04-25']"
2016-04-26,"['22.639', '16.736', '15.117', '0.39', '14.985999999999999', '9.125', '8.123', '0.721', '736.0', '631.589', '259.464', '0.402', '0.349', '1.331', '-0.092', '2016-04-26']"
2016-04-27,"['9.002', '15.155999999999999', '14.845999999999998', '-0.415', '2.219', '8.174', '8.02', '-0.743', '784.0', '630.495', '258.17400000000004', '0.595', '0.342', '1.436', '0.10400000000000001', '2016-04-27']"
2016-04-28,"['22.449', '16.247', '14.7', '0.42200000000000004', '15.405', '8.846', '8.049', '0.815', '1013.0', '638.614', '266.85900000000004', '1.403', '0.317', '1.946', '0.11900000000000001', '2016-04-28']"
2016-04-29,"['-18.635', '14.383', '16.584', '-1.9909999999999999', '-12.4', '7.611000000000001', '9.238', '-2.166', '1078.0', '662.949', '280.268', '1.4809999999999999', '0.309', '2.0', '-0.063', '2016-04-29']"
2016-04-30,"['17.3', '15.591', '15.356', '0.111', '8.523', '8.272', '8.495', '0.028999999999999998', '646.0', '681.184', '256.478', '-0.13699999999999998', '0.381', '0.578', '-0.02', '2016-04-30']"
2016-05-01,"['2.992', '14.959000000000001', '15.557', '-0.769', '0.669', '7.962999999999999', '8.642000000000001', '-0.8440000000000001', '173.0', '677.883', '277.887', '-1.817', '0.561', '0.467', '0.01', '2016-05-01']"
2016-05-02,"['11.064', '15.517999999999999', '14.972999999999999', '-0.297', '9.106', '8.41', '8.305', '0.084', '475.0', '659.5939999999999', '275.85400000000004', '-0.669', '0.41700000000000004', '1.161', '-0.068', '2016-05-02']"
2016-05-03,"['12.107000000000001', '14.187999999999999', '14.305', '-0.145', '0.815', '7.192', '7.894', '-0.8079999999999999', '847.0', '650.447', '279.685', '0.703', '0.342', '1.544', '-0.126', '2016-05-03']"
2016-05-04,"['6.626', '12.489', '11.417', '-0.514', '1.054', '6.504', '6.647', '-0.82', '828.0', '645.172', '275.428', '0.664', '0.34299999999999997', '1.494', '0.187', '2016-05-04']"
2016-05-05,"['5.531000000000001', '11.275', '11.579', '-0.496', '7.586', '6.301', '6.624', '0.19399999999999998', '771.0', '648.868', '277.103', '0.441', '0.322', '0.94', '0.055', '2016-05-05']"
2016-05-06,"['3.431', '10.501', '12.039000000000001', '-0.5870000000000001', '3.884', '5.904', '6.747000000000001', '-0.299', '907.0', '666.439', '281.63', '0.8540000000000001', '0.345', '1.6159999999999999', '-0.08', '2016-05-06']"
2016-05-07,"['16.546', '10.995', '12.137', '0.457', '8.924', '5.99', '6.903', '0.425', '505.0', '673.835', '261.89599999999996', '-0.645', '0.465', '0.48100000000000004', '-0.13', '2016-05-07']"
2016-05-08,"['5.416', '11.065999999999999', '12.037', '-0.469', '2.943', '6.042000000000001', '6.773', '-0.45799999999999996', '175.0', '669.3480000000001', '279.987', '-1.766', '0.5710000000000001', '0.489', '0.079', '2016-05-08']"
2016-05-09,"['17.264', '9.888', '9.627', '0.7659999999999999', '12.503', '5.496', '5.417000000000001', '1.294', '449.0', '648.382', '278.67900000000003', '-0.715', '0.423', '0.79', '0.209', '2016-05-09']"
2016-05-10,"['24.611', '9.574', '9.377', '1.6030000000000002', '19.389', '5.55', '5.796', '2.388', '715.0', '638.3430000000001', '283.414', '0.27', '0.366', '0.82', '-0.105', '2016-05-10']"
2016-05-11,"['44.361000000000004', '10.890999999999998', '12.155999999999999', '2.753', '24.593000000000004', '6.125', '6.772', '2.727', '872.0', '643.715', '287.14', '0.795', '0.33299999999999996', '1.551', '-0.085', '2016-05-11']"
2016-05-12,"['-13.097999999999999', '10.211', '13.584000000000001', '-1.716', '-6.3', '5.672999999999999', '7.195', '-1.6640000000000001', '883.0', '650.7230000000001', '291.064', '0.7979999999999999', '0.336', '1.581', '0.022000000000000002', '2016-05-12']"
2016-05-13,"['23.343000000000004', '11.606', '13.105', '0.8959999999999999', '11.876', '6.365', '6.928', '0.795', '802.0', '660.687', '289.29200000000003', '0.488', '0.34700000000000003', '1.349', '-0.146', '2016-05-13']"
2016-05-14,"['4.398', '11.065', '13.057', '-0.511', '3.2910000000000004', '6.223', '6.959', '-0.42100000000000004', '595.0', '682.298', '270.586', '-0.32299999999999995', '0.429', '0.586', '0.031', '2016-05-14']"
2016-05-15,"['3.597', '10.63', '13.165', '-0.534', '2.302', '5.9510000000000005', '6.996', '-0.522', '169.0', '678.4639999999999', '285.095', '-1.787', '0.568', '0.478', '0.073', '2016-05-15']"
2016-05-16,"['10.762', '10.607000000000001', '13.205', '0.012', '9.023', '5.968', '7.063', '0.433', '472.0', '664.832', '285.736', '-0.675', '0.447', '0.932', '0.083', '2016-05-16']"
2016-05-17,"['13.456', '10.39', '13.247', '0.231', '4.413', '5.709', '7.039', '-0.184', '767.0', '657.86', '289.703', '0.377', '0.449', '1.416', '-0.026000000000000002', '2016-05-17']"
2016-05-18,"['-10.870999999999999', '9.469', '14.275', '-1.425', '-6.659', '5.172999999999999', '7.542999999999999', '-1.569', '1030.0', '659.305', '292.97', '1.265', '0.345', '1.797', '-0.145', '2016-05-18']"
2016-05-19,"['-19.617', '8.795', '15.243', '-1.864', '-12.333', '4.931', '7.973', '-2.165', '1159.0', '665.2180000000001', '301.987', '1.635', '0.36200000000000004', '1.9069999999999998', '-0.08199999999999999', '2016-05-19']"
2016-05-20,"['6.087000000000001', '8.815', '14.663', '-0.18600000000000003', '9.715', '5.452999999999999', '7.277', '0.586', '962.0', '667.617', '295.21', '0.997', '0.33', '1.65', '0.209', '2016-05-20']"
2016-05-21,"['14.295', '8.516', '15.527999999999999', '0.37200000000000005', '8.068', '5.152', '7.492000000000001', '0.389', '521.0', '685.0239999999999', '277.883', '-0.59', '0.415', '0.52', '0.042', '2016-05-21']"
2016-05-22,"['3.417', '8.642000000000001', '15.737', '-0.332', '1.426', '5.073', '7.601', '-0.48', '174.0', '684.398', '291.256', '-1.7519999999999998', '0.54', '0.499', '-0.087', '2016-05-22']"
2016-05-23,"['7.954', '7.945', '15.145999999999999', '0.001', '6.459', '4.8919999999999995', '7.353', '0.213', '490.0', '669.7080000000001', '291.28', '-0.617', '0.40399999999999997', '1.1159999999999999', '-0.003', '2016-05-23']"
2016-05-24,"['27.85', '9.355', '15.614', '1.185', '24.813000000000002', '6.136', '8.488999999999999', '2.2', '893.0', '666.178', '299.551', '0.757', '0.34700000000000003', '1.597', '-0.18100000000000002', '2016-05-24']"
2016-05-25,"['48.803000000000004', '11.241', '17.42', '2.156', '36.025999999999996', '7.193', '9.991', '2.886', '1023.0', '672.966', '306.981', '1.14', '0.321', '1.614', '0.17300000000000001', '2016-05-25']"
2016-05-26,"['32.714', '12.392999999999999', '17.465', '1.1640000000000001', '18.112000000000002', '7.346', '8.427999999999999', '1.2770000000000001', '730.0', '671.115', '308.012', '0.191', '0.374', '0.7', '-0.24600000000000002', '2016-05-26']"
2016-05-27,"['29.928', '13.627', '19.101', '0.853', '20.804000000000002', '8.107000000000001', '9.334', '1.36', '697.0', '674.6210000000001', '306.341', '0.073', '0.35600000000000004', '0.7020000000000001', '0.055999999999999994', '2016-05-27']"
2016-05-28,"['27.638', '14.445', '19.133', '0.69', '13.88', '8.254', '9.009', '0.624', '545.0', '690.6110000000001', '286.074', '-0.509', '0.409', '0.512', '0.034', '2016-05-28']"
2016-05-29,"['1.729', '14.218', '19.794', '-0.631', '2.135', '8.112', '9.331', '-0.6409999999999999', '159.0', '688.0010000000001', '299.986', '-1.7630000000000001', '0.465', '0.486', '-0.018000000000000002', '2016-05-29']"
2016-05-30,"['7.702000000000001', '13.437000000000001', '19.660999999999998', '-0.292', '4.71', '7.59', '9.312999999999999', '-0.309', '199.0', '662.183', '318.441', '-1.455', '0.462', '0.5589999999999999', '0.06', '2016-05-30']"
2016-05-31,"['18.695', '12.224', '17.942999999999998', '0.361', '13.668', '7.122000000000001', '8.566', '0.764', '472.0', '642.724', '317.022', '-0.539', '0.40299999999999997', '1.228', '0.047', '2016-05-31']"
2016-06-01,"['3.782', '12.085999999999999', '17.662', '-0.47', '2.7319999999999998', '6.853', '8.302999999999999', '-0.496', '865.0', '637.605', '325.14599999999996', '0.6990000000000001', '0.353', '1.3530000000000002', '-0.11599999999999999', '2016-06-01']"
2016-06-02,"['22.587', '12.815999999999999', '17.629', '0.5539999999999999', '10.715', '7.027', '8.217', '0.449', '734.0', '632.221', '322.538', '0.316', '0.337', '0.847', '0.096', '2016-06-02']"
2016-06-03,"['31.963', '14.237', '18.049', '0.982', '13.988', '7.591', '8.353', '0.7659999999999999', '949.0', '646.394', '327.786', '0.9229999999999999', '0.36', '1.7209999999999999', '-0.036000000000000004', '2016-06-03']"
2016-06-04,"['7.098', '14.508', '18.066', '-0.41', '2.448', '7.801', '8.511000000000001', '-0.629', '513.0', '655.477', '306.723', '-0.465', '0.452', '0.478', '-0.11800000000000001', '2016-06-04']"
2016-06-05,"['-4.184', '13.773', '18.53', '-0.9690000000000001', '-2.496', '7.434', '8.796', '-1.129', '165.0', '655.953', '321.66700000000003', '-1.526', '0.564', '0.556', '-0.006999999999999999', '2016-06-05']"
2016-06-06,"['31.741999999999997', '14.539000000000001', '18.72', '0.919', '25.939', '8.411', '9.592', '1.827', '462.0', '641.9580000000001', '322.42400000000004', '-0.5579999999999999', '0.45', '1.247', '0.235', '2016-06-06']"
2016-06-07,"['56.494', '17.108', '19.948', '1.974', '38.89', '9.831', '10.777000000000001', '2.696', '733.0', '621.77', '318.217', '0.35', '0.4', '1.242', '-0.005', '2016-06-07']"
2016-06-08,"['43.537', '19.768', '19.082', '1.246', '30.054000000000002', '10.972000000000001', '9.849', '1.9369999999999998', '730.0', '606.686', '303.56', '0.406', '0.414', '0.903', '0.063', '2016-06-08']"
2016-06-09,"['19.768', '21.546', '17.991', '-0.099', '6.705', '11.214', '8.96', '-0.503', '657.0', '590.308', '290.156', '0.23', '0.39399999999999996', '0.667', '-0.139', '2016-06-09']"
2016-06-10,"['3.057', '21.316', '18.74', '-0.9740000000000001', '-0.17800000000000002', '11.064', '9.305', '-1.208', '799.0', '595.658', '289.904', '0.701', '0.389', '1.354', '0.006', '2016-06-10']"
2016-06-11,"['-4.17', '20.945999999999998', '19.218', '-1.307', '-3.003', '10.984000000000002', '9.477', '-1.476', '502.0', '607.8919999999999', '273.197', '-0.38799999999999996', '0.456', '0.524', '-0.081', '2016-06-11']"
2016-06-12,"['0.693', '20.436', '19.79', '-0.998', '-0.113', '10.616', '9.812000000000001', '-1.093', '160.0', '604.977', '287.18', '-1.5490000000000002', '0.525', '0.534', '0.035', '2016-06-12']"
2016-06-13,"['-2.573', '19.455', '20.419', '-1.079', '-0.063', '10.004', '10.15', '-0.992', '452.0', '587.784', '283.15', '-0.48', '0.44', '0.657', '-0.106', '2016-06-13']"
2016-06-14,"['-14.198', '16.404', '21.006999999999998', '-1.4569999999999999', '-9.222000000000001', '8.277999999999999', '10.769', '-1.625', '939.0', '576.781', '281.10400000000004', '1.2890000000000001', '0.35', '1.732', '-0.034', '2016-06-14']"
2016-06-15,"['23.116999999999997', '15.495', '19.184', '0.397', '14.924000000000001', '8.027999999999999', '10.052999999999999', '0.6859999999999999', '790.0', '570.536', '273.877', '0.8009999999999999', '0.382', '1.276', '0.134', '2016-06-15']"
2016-06-16,"['-31.046999999999997', '12.107999999999999', '21.574', '-2.0', '-22.695999999999998', '5.789', '11.967', '-2.38', '1015.0', '595.905', '298.282', '1.405', '0.35200000000000004', '1.9140000000000001', '-0.038', '2016-06-16']"
2016-06-17,"['-12.159', '10.764000000000001', '19.891', '-1.1520000000000001', '-12.210999999999999', '4.98', '11.042', '-1.557', '824.0', '596.229', '290.433', '0.784', '0.354', '1.442', '0.019', '2016-06-17']"
2016-06-18,"['4.638', '11.013', '19.735', '-0.32299999999999995', '2.9560000000000004', '5.501', '10.484000000000002', '-0.243', '373.0', '609.951', '281.955', '-0.84', '0.45', '0.457', '0.0', '2016-06-18']"
2016-06-19,"['3.4760000000000004', '10.157', '20.192', '-0.331', '1.857', '5.141', '10.633', '-0.309', '162.0', '614.563', '282.376', '-1.6030000000000002', '0.5', '0.43200000000000005', '0.002', '2016-06-19']"
2016-06-20,"['27.3', '11.025', '20.537', '0.792', '21.230999999999998', '5.943', '11.222999999999999', '1.3619999999999999', '574.0', '626.9169999999999', '270.538', '-0.196', '0.40399999999999997', '1.234', '-0.157', '2016-06-20']"
2016-06-21,"['21.948', '10.812000000000001', '20.382', '0.546', '13.187000000000001', '5.678999999999999', '10.814', '0.6940000000000001', '750.0', '613.056', '271.448', '0.504', '0.35700000000000004', '1.172', '-0.044000000000000004', '2016-06-21']"
2016-06-22,"['35.042', '11.749', '21.138', '1.102', '24.835', '6.336', '11.558', '1.6', '707.0', '610.5319999999999', '270.23', '0.35700000000000004', '0.376', '1.248', '0.099', '2016-06-22']"
2016-06-23,"['22.069000000000003', '10.832', '20.203', '0.556', '17.614', '5.865', '10.899000000000001', '1.078', '818.0', '612.632', '271.262', '0.757', '0.344', '1.556', '0.133', '2016-06-23']"
2016-06-24,"['23.81', '11.805', '20.357', '0.59', '12.552', '5.957999999999999', '10.668', '0.618', '1808.0', '668.528', '383.32300000000004', '2.9730000000000003', '0.298', '2.661', '0.059000000000000004', '2016-06-24']"
2016-06-25,"['-17.012999999999998', '11.228', '21.455', '-1.3159999999999998', '-6.045', '5.5889999999999995', '10.892999999999999', '-1.068', '866.0', '689.648', '327.792', '0.5379999999999999', '0.385', '0.852', '-0.05', '2016-06-25']"
2016-06-26,"['7.3020000000000005', '11.24', '20.679000000000002', '-0.19', '6.119', '5.501', '10.584000000000001', '0.057999999999999996', '263.0', '701.5039999999999', '354.228', '-1.238', '0.46799999999999997', '0.47', '-0.006999999999999999', '2016-06-26']"
2016-06-27,"['-22.136', '7.196000000000001', '19.549', '-1.5', '-19.910999999999998', '2.8739999999999997', '10.732000000000001', '-2.123', '884.0', '709.455', '354.961', '0.49200000000000005', '0.37799999999999995', '1.7309999999999999', '-0.049', '2016-06-27']"
2016-06-28,"['34.529', '7.627999999999999', '16.858', '1.5959999999999999', '30.778000000000002', '4.1160000000000005', '9.97', '2.674', '1241.0', '719.76', '379.6', '1.3730000000000002', '0.31', '1.702', '-0.073', '2016-06-28']"
2016-06-29,"['62.931999999999995', '7.465', '20.134', '2.755', '39.064', '4.162', '11.292', '3.091', '1079.0', '744.81', '394.473', '0.847', '0.331', '1.663', '-0.032', '2016-06-29']"
2016-06-30,"['47.963', '9.952', '23.043000000000003', '1.65', '28.611', '5.27', '12.264000000000001', '1.903', '1175.0', '768.9069999999999', '407.88800000000003', '0.996', '0.337', '1.8019999999999998', '0.053', '2016-06-30']"
2016-07-01,"['70.484', '14.083', '26.576', '2.122', '43.425', '7.54', '14.595', '2.459', '1095.0', '790.6419999999999', '411.181', '0.74', '0.34299999999999997', '1.4809999999999999', '-0.06', '2016-07-01']"
2016-07-02,"['21.254', '14.595999999999998', '25.074', '0.266', '10.974', '7.471', '12.927999999999999', '0.271', '446.0', '803.64', '394.705', '-0.9059999999999999', '0.5', '0.451', '0.006999999999999999', '2016-07-02']"
2016-07-03,"['10.503', '16.207', '25.209', '-0.226', '5.4110000000000005', '8.236', '12.87', '-0.22', '198.0', '805.072', '398.085', '-1.525', '0.39899999999999997', '0.45899999999999996', '0.003', '2016-07-03']"
2016-07-04,"['8.604', '17.087', '24.601999999999997', '-0.345', '5.961', '8.927', '12.387', '-0.239', '174.0', '772.56', '421.99699999999996', '-1.4180000000000001', '0.397', '0.466', '-0.006999999999999999', '2016-07-04']"
2016-07-05,"['4.261', '16.531', '24.74', '-0.496', '1.651', '8.556000000000001', '12.446', '-0.555', '462.0', '749.2760000000001', '424.68800000000005', '-0.6759999999999999', '0.439', '0.654', '-0.003', '2016-07-05']"
2016-07-06,"['15.04', '17.988', '23.754', '-0.124', '9.798', '9.57', '11.630999999999998', '0.02', '770.0', '737.655', '430.899', '0.075', '0.39', '0.616', '0.126', '2016-07-06']"
2016-07-07,"['32.766', '19.979', '23.099', '0.5539999999999999', '16.462', '10.347999999999999', '11.362', '0.5379999999999999', '753.0', '730.823', '428.546', '0.052000000000000005', '0.35700000000000004', '0.7190000000000001', '-0.153', '2016-07-07']"
2016-07-08,"['64.609', '23.764', '24.272', '1.683', '53.792', '13.241', '14.610999999999999', '2.775', '860.0', '749.677', '425.23199999999997', '0.259', '0.35100000000000003', '1.256', '0.125', '2016-07-08']"
2016-07-09,"['51.121', '24.849', '23.331', '1.126', '27.921999999999997', '13.177999999999999', '11.975', '1.2309999999999999', '639.0', '767.078', '404.69199999999995', '-0.316', '0.449', '0.726', '-0.033', '2016-07-09']"
2016-07-10,"['9.165', '25.49', '25.375999999999998', '-0.643', '6.4670000000000005', '13.297', '12.65', '-0.54', '184.0', '765.2689999999999', '420.09', '-1.3840000000000001', '0.5379999999999999', '0.462', '-0.035', '2016-07-10']"
2016-07-11,"['58.544', '27.273000000000003', '26.288', '1.19', '47.313', '15.102', '14.757', '2.1830000000000003', '565.0', '757.23', '420.63300000000004', '-0.457', '0.435', '0.68', '0.035', '2016-07-11']"
2016-07-12,"['55.943999999999996', '27.587', '26.305999999999997', '1.078', '38.996', '15.17', '14.069', '1.693', '833.0', '754.456', '426.93', '0.184', '0.397', '0.7929999999999999', '-0.021', '2016-07-12']"
2016-07-13,"['42.218999999999994', '28.971999999999998', '26.94', '0.49200000000000005', '23.434', '15.559000000000001', '13.629000000000001', '0.578', '842.0', '752.65', '422.588', '0.21100000000000002', '0.466', '0.7120000000000001', '-0.201', '2016-07-13']"
2016-07-14,"['29.213', '29.64', '27.331', '-0.016', '24.151999999999997', '16.424', '13.837', '0.5579999999999999', '788.0', '716.9689999999999', '380.764', '0.187', '0.364', '1.39', '-0.078', '2016-07-14']"
2016-07-15,"['21.56', '30.554000000000002', '26.086', '-0.345', '12.853', '16.633', '12.995999999999999', '-0.29100000000000004', '720.0', '690.555', '356.631', '0.083', '0.474', '1.2830000000000001', '-0.08', '2016-07-15']"
2016-07-16,"['15.100999999999999', '31.799', '25.395', '-0.6579999999999999', '8.902000000000001', '17.287', '12.573', '-0.667', '516.0', '703.98', '346.769', '-0.542', '0.43799999999999994', '0.643', '0.084', '2016-07-16']"
2016-07-17,"['11.724', '32.277', '24.857', '-0.8270000000000001', '7.605', '17.643', '12.147', '-0.826', '148.0', '687.768', '362.467', '-1.489', '0.568', '0.594', '-0.024', '2016-07-17']"
2016-07-18,"['27.873', '33.545', '23.127', '-0.245', '22.171', '18.316', '11.737', '0.32799999999999996', '427.0', '643.355', '332.532', '-0.6509999999999999', '0.44299999999999995', '1.242', '0.11800000000000001', '2016-07-18']"
2016-07-19,"['30.38', '31.236', '21.631999999999998', '-0.04', '14.800999999999998', '16.757', '10.886', '-0.18', '705.0', '617.679', '319.32', '0.273', '0.322', '1.37', '-0.155', '2016-07-19']"
2016-07-20,"['30.695', '30.647', '21.225', '0.002', '22.395', '16.764', '10.727', '0.525', '627.0', '591.16', '292.059', '0.12300000000000001', '0.38299999999999995', '1.36', '0.166', '2016-07-20']"
2016-07-21,"['37.883', '29.355999999999998', '20.398', '0.418', '21.21', '16.019000000000002', '10.253', '0.506', '683.0', '569.929', '267.233', '0.423', '0.35700000000000004', '1.391', '-0.193', '2016-07-21']"
2016-07-22,"['10.347999999999999', '28.046', '20.824', '-0.85', '9.568999999999999', '15.578', '10.388', '-0.578', '696.0', '574.957', '266.853', '0.45399999999999996', '0.353', '1.558', '0.33', '2016-07-22']"
2016-07-23,"['24.741999999999997', '28.659000000000002', '20.616999999999997', '-0.19', '9.831', '15.453', '10.549000000000001', '-0.5329999999999999', '429.0', '584.202', '253.56400000000002', '-0.612', '0.408', '0.602', '-0.132', '2016-07-23']"
2016-07-24,"['10.815999999999999', '29.28', '20.396', '-0.905', '7.829', '15.899000000000001', '10.28', '-0.785', '157.0', '588.885', '255.53799999999998', '-1.69', '0.51', '0.521', '0.07400000000000001', '2016-07-24']"
2016-07-25,"['28.447', '30.226', '19.889', '-0.08900000000000001', '20.771', '16.687', '9.988999999999999', '0.409', '499.0', '598.129', '245.357', '-0.40399999999999997', '0.349', '1.558', '-0.037000000000000005', '2016-07-25']"
2016-07-26,"['11.754000000000001', '29.975', '19.799', '-0.92', '5.6129999999999995', '16.430999999999997', '9.802', '-1.104', '732.0', '588.297', '251.843', '0.5710000000000001', '0.33299999999999996', '1.5919999999999999', '0.027999999999999997', '2016-07-26']"
2016-07-27,"['18.475', '29.651', '19.553', '-0.5720000000000001', '12.459000000000001', '16.462', '9.547', '-0.419', '656.0', '580.9830000000001', '247.755', '0.303', '0.35200000000000004', '1.168', '-0.027999999999999997', '2016-07-27']"
2016-07-28,"['22.083000000000002', '28.531', '19.379', '-0.33299999999999996', '14.45', '15.686', '9.257', '-0.133', '826.0', '588.8919999999999', '252.696', '0.938', '0.315', '1.6909999999999998', '0.153', '2016-07-28']"
2016-07-29,"['25.642', '26.258000000000003', '16.115', '-0.038', '15.753', '14.687000000000001', '8.002', '0.133', '732.0', '583.52', '242.774', '0.612', '0.395', '1.635', '0.213', '2016-07-29']"
2016-07-30,"['25.561999999999998', '26.746', '15.85', '-0.075', '13.026', '14.78', '7.791', '-0.225', '420.0', '591.5840000000001', '228.71599999999998', '-0.75', '0.5', '0.495', '-0.131', '2016-07-30']"
2016-07-31,"['11.075999999999999', '25.616999999999997', '15.953', '-0.912', '5.742999999999999', '13.892000000000001', '7.699', '-1.058', '188.0', '587.818', '240.452', '-1.663', '0.516', '0.48100000000000004', '0.051', '2016-07-31']"
2016-08-01,"['12.499', '23.104', '13.422', '-0.79', '10.332', '12.798', '6.331', '-0.39', '478.0', '570.7719999999999', '235.36599999999999', '-0.39399999999999996', '0.44799999999999995', '1.3940000000000001', '-0.152', '2016-08-01']"
2016-08-02,"['14.762', '20.849', '11.463', '-0.531', '10.536', '11.62', '5.572', '-0.195', '806.0', '560.3969999999999', '237.44099999999997', '1.034', '0.34', '1.5119999999999998', '0.142', '2016-08-02']"
