,spy_ewm_volume_base_s,spy_mean_volume_base_s,spy_mean_raw_s,spy_mean_s_dispersion,spy_volume_base_s_z,spy_s_dispersion_z,spy_raw_s_MACD_ewma12-ewma26,future_ewm_volume_base_s,future_mean_volume_base_s,future_mean_raw_s,future_volume_base_s_delta,future_s_dispersion_delta,future_raw_s_MACD_ewma12-ewma26,today_Return,todayclassret
2015-08-18,-0.032976969071579904,-0.026370710059171597,-0.05089940828402368,0.9680532544378698,-1.7725651097964936,0.38513723281380197,-0.004866815790591644,0.013218662260621131,0.011812499999999997,0.007124999999999999,-0.027547500000000003,0.010000000000000009,-0.005753711740924716,-0.0028966238263319452,-1
2015-08-19,0.03131334263567966,0.033636658841940545,0.06484037558685443,0.9791924882629108,0.057194750738161555,0.948032106059092,-0.002562586476710836,-0.003434374319398533,-0.0020603448275862118,0.003862068965517238,-0.013872844827586208,0.0,-0.0036266176649897234,-0.007905462575587099,-2
2015-08-20,-0.0023346000582202334,-0.003122222222222224,-0.004377049180327856,0.9777377049180328,-0.9819044957063413,0.8704070580712163,-0.00568540981916469,0.03492375773271291,0.032192307692307694,0.03352307692307692,0.03425265251989391,0.0,0.00019511181089330865,-0.020881364505712357,-2
2015-08-21,0.0079374812638005,0.0072332124456121714,0.016732342007434946,0.9751524163568774,-0.8998666937131526,0.8495904618886071,-0.006534117821743568,-0.018210339939016475,-0.01946376811594203,-0.02377173913043478,-0.05165607580824973,-0.02717391304347827,-0.0009555051066578498,-0.030102460998666793,-2
2015-08-24,0.014107488011446087,-0.0002767296944821597,0.023713355048859918,0.9776058631921825,-0.9969571236467322,0.7066215600187988,-0.006959101420011028,-0.014120051048662203,-0.01379290429042904,-0.031396039603960396,-0.01379290429042904,-0.001653465346534655,-0.00204120377113985,-0.030102460998666793,-2
2015-08-25,0.04232479897437727,0.04920305512886158,0.10697491039426517,0.9745483870967744,0.8167333131682153,0.5036492630470933,-0.0005129270252819257,0.059214224854545874,0.05576491228070174,0.06132631578947367,0.06955781657113078,-0.008872850442939062,0.0036466460999772703,-0.011767788918207353,-2
2015-08-26,0.026741297189033304,0.03000828990715783,0.047139622641509435,0.9536150943396228,0.14358530990806212,-0.6521724554852228,7.746145432868667e-05,0.008571622111831831,0.006344594594594586,0.02116216216216216,-0.049420317686107156,-0.009743954480796568,0.005060899016030216,0.02473514772628985,2
2015-08-27,0.07223747753035695,0.06706530483405486,0.15239772727272724,0.9564583333333335,1.3966133586383342,-0.4848603442714667,0.008416261849066554,0.11198901687974784,0.1106339285714286,0.13321428571428573,0.10428933397683401,0.0024131274131273805,0.014495059222825318,0.02473514772628985,2
2015-08-28,0.047933801694773834,0.04217948395217115,0.09268281938325991,0.9764405286343613,0.4805875914474077,0.5406662576190058,0.010351559404556204,0.03503270179943984,0.03312365591397849,0.06374193548387096,-0.07751027265745011,0.004421658986175192,0.016483415935510518,5.015807597029e-05,0
2015-08-31,0.03681728623780062,0.029703924611973388,0.08275121951219509,0.9655121951219514,0.10390229200554171,-0.2682699583894169,0.005382368800096765,-0.011630427105702673,-0.010926829268292686,-0.013634146341463416,0.20579761904761906,-0.012195121951219523,-0.013819024360676276,-0.008079089763540388,-1
2015-09-01,-0.0011965134335730331,0.0006622663139329805,0.018788888888888883,0.9634592592592593,-0.8512242346895139,-0.4705969063399088,0.0021160019505860606,-0.029525702182468222,-0.031523437499999994,-0.030968749999999993,-0.02059660823170731,0.004382621951219523,-0.012722664267785608,-0.029847695956370063,-2
