,q1signal,q1signalRolling,lastsignal,position,adjClose,rtnSPY,cRtn-SPY,rtnPort,cRtn-Port
2017-12-11,-0.00020207842625587227,9999.0,-1.3480517280075219e-05,0,251.47310221689997,0.0017648605007354323,0.0017648605007354323,0.0,0.0
2017-12-12,-0.0002730820888292729,9999.0,-0.0007710975405900966,0,251.916917162,-0.00011245220773237197,0.001652209830543372,-0.0,0.0
2017-12-13,-0.00023594032448100282,9999.0,-8.417077963687478e-05,0,251.8885885485,-0.004086223055324356,-0.0024407645226828256,-0.0,0.0
2017-12-14,-0.00019748905442058235,9999.0,0.0012679795515655172,0,250.8593155906,0.008286279455104628,0.005825290075502698,0.0,0.0
2017-12-15,-0.0002735474564746462,9999.0,-0.000151487657901499,0,252.93800598349998,0.006341225469709055,0.012203455023007015,0.0,0.0
2017-12-18,-0.0002992482094655426,9999.0,-0.0003495627649644785,0,254.5419429093,-0.0038404175984793065,0.008316171061095057,-0.0,0.0
2017-12-19,-0.000268828446026709,-0.0004420984408443101,-0.0005326341167241416,1,253.5643955522,-0.0005240109294945006,0.0077878023670729934,-0.0005240109294945006,-0.0005240109294945006
2017-12-20,-0.00019343684356729147,-0.0004420984408443101,0.0014002063189280255,1,253.43152503759998,0.0020596936672443444,0.009863536521534488,0.0020596936672443444,0.0015346034357568428
2017-12-21,-0.0002915621290331016,-0.0004420984408443101,-0.0006116758014759906,1,253.9535163448,-0.0002616040063402325,0.009599352174523457,-0.0002616040063402325,0.001272597971009759
2017-12-22,-0.0003762673142477794,-0.0004420984408443101,0.0002303864751114434,1.0,253.8870810875,-0.0011962169638530806,0.00839165230275718,-0.0011962169638530806,7.485870387569094e-05
2017-12-26,-0.0002965062481127266,-0.0004420984408443101,9.709353926271525e-05,1,253.58337705419999,0.0004865451554170175,0.00888228037594807,0.0004865451554170175,0.0005614402814324571
2017-12-27,-0.00034280356375301566,-0.0004420984408443101,0.0015425253554083571,1,253.7067568178,0.002057459224765079,0.010958014530409566,0.002057459224765079,0.0026200546466836894
2017-12-28,-0.0003020471186199498,-0.00034463784534028455,-0.0001546415739564275,1,254.228748125,-0.0037704856833449263,0.0071462118101599525,-0.0037704856833449263,-0.0011603099151961116
2017-12-29,-0.00020573622304446008,-2.977401734685612e-05,0.000979059492018313,1.0,253.2701822699,0.007157310949728046,0.014354670419925997,0.007157310949728046,0.0059886963356707845
2018-01-02,-0.00018099358319592328,-0.00038415868771620907,-0.000770689126014983,0,255.08291571869998,0.006325110689417102,0.020770575988659168,0.0,0.0059886963356707845
2018-01-03,-0.00019623106276145033,-0.0004636653499857053,-0.0008156037388403561,0,256.6963433956,0.0042148851997183545,0.025073006781701768,0.0,0.0059886963356707845
2018-01-04,-3.953969220035967e-05,-0.0004636653499857053,-0.00010941242003852644,1,257.77828901419997,0.006663966716783598,0.03190405918116834,0.006663966716783598,0.012692571525512175
2018-01-05,3.698363591571929e-06,-0.0004636653499857053,0.0002730564337078736,1.0,259.4961149525,0.001828688464899697,0.03379109023107607,0.001828688464899697,0.014544470749550564
2018-01-08,-2.204144340482474e-05,-0.0007910661397318817,-0.0008094431534487802,1,259.97065250459997,0.0022634345793690613,0.03613100873254882,0.0022634345793690613,0.016840825786952784
2018-01-09,-5.8637154099115265e-05,-0.0007910661397318817,-0.00015989394467770638,1,260.5590790691,-0.0015298317184881949,0.03454590265088053,-0.0015298317184881949,0.015285230439010089
2018-01-10,-0.00010819535870262097,-0.0007910661397318817,0.0007859702932818866,1.0,260.1604675254,0.007296074711714784,0.04209402684931973,0.007296074711714784,0.022692827333993693
2018-01-11,-3.0950219859141553e-05,-0.0004856685490632433,0.00022740329983301884,1.0,262.0586177335,0.006518904823947791,0.04888733862795491,0.006518904823947791,0.029359664539517993
2018-01-12,-2.8821144138212136e-05,-0.00035505900299494854,-0.0005482240613121907,0,263.7669529208,-0.003418249855851818,0.04530197963388516,-0.0,0.029359664539517993
2018-01-16,2.1191402951103837e-05,-0.00035505900299494854,0.0008522862426543129,1.0,262.865331572,0.009531718236543751,0.05526550357585669,0.009531718236543751,0.03917123082597196
2018-01-17,-4.2042342777157395e-06,-0.00035505900299494854,0.00015503308419584466,1.0,265.3708898467,-0.0016809126997979762,0.0534916943892374,-0.0016809126997979762,0.03742447470681198
2018-01-18,1.3791667231598242e-05,-3.430430240930867e-06,0.0004868709391197451,1.0,264.9248245478,0.004549688328217005,0.05828475325507365,0.004549688328217005,0.04214443273079227
2018-01-19,4.3667749163474556e-05,0.00019021819201443175,0.000783950307087693,1.0,266.1301499299,0.008130951107456097,0.06688961484155698,0.008130951107456097,0.050618058160234014
2018-01-22,4.102954804201703e-05,9.632731078791499e-05,3.96215373799853e-05,0,268.2940411672,0.0021224663057093363,0.06915405210096948,0.0,0.050618058160234014
2018-01-23,1.260812787115263e-06,-4.5745677900276525e-05,-0.00012911289318053837,0,268.86348622959997,-0.00038829468018886093,0.0687389052702363,-0.0,0.050618058160234014
2018-01-24,6.0260259400303045e-05,9.632731078791499e-05,0.0006319407922474406,1.0,268.7590879682,0.00042375874007083425,0.06919179272219833,0.00042375874007083425,0.05106326674485562
2018-01-25,0.00010604345827011286,9.632731078791499e-05,0.0014075116490958293,1,268.8729769807,0.011577832686114453,0.08157071640770264,0.011577832686114453,0.06323230138974845
2018-01-26,-3.3834894100501707e-05,-4.5745677900276525e-05,-0.000472861190688228,0,271.985943322,-0.006629911368490005,0.07439999841916523,-0.0,0.06323230138974845
