Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-09-06,298.17,298.76,297.42,298.05,49510922,0,1,298.17,298.76,297.42,298.05,49510922
2019-09-05,296.79,298.83,294.001,297.75,83197295,0,1,296.79,298.83,294.001,297.75,83197295
2019-09-04,293.14,294.055,292.31,293.97,46813644,0,1,293.14,294.055,292.31,293.97,46813644
2019-09-03,290.57,291.58,289.27,290.75,69078772,0,1,290.57,291.58,289.27,290.75,69078772
2019-08-30,294.22,294.2399,291.42,292.4527,62831109,0,1,294.22,294.2399,291.42,292.4527,62831109
2019-08-29,291.72,293.16,290.61,292.58,57913188,0,1,291.72,293.16,290.61,292.58,57913188
2019-08-28,286.14,289.07,285.25,288.89,59852324,0,1,286.14,289.07,285.25,288.89,59852324
2019-08-27,289.54,289.95,286.03,286.87,68262998,0,1,289.54,289.95,286.03,286.87,68262998
2019-08-26,287.27,288,285.58,288,72478929,0,1,287.27,288,285.58,288,72478929
2019-08-23,290.92,292.76,283.47,284.85,149217157,0,1,290.92,292.76,283.47,284.85,149217157
2019-08-22,293.23,293.93,290.4,292.36,51698543,0,1,293.23,293.93,290.4,292.36,51698543
2019-08-21,292.48,292.86,291.72,292.45,49565853,0,1,292.48,292.86,291.72,292.45,49565853
2019-08-20,291.77,292.36,289.95,290.09,51614878,0,1,291.77,292.36,289.95,290.09,51614878
2019-08-19,292.19,293.08,291.44,292.33,53583732,0,1,292.19,293.08,291.44,292.33,53583732
2019-08-16,286.48,289.33,284.7138,288.85,85808933,0,1,286.48,289.33,284.7138,288.85,85808933
2019-08-15,284.88,285.64,282.39,284.65,101929845,0,1,284.88,285.64,282.39,284.65,101929845
2019-08-14,288.07,292.4644,283.76,283.9,135369567,0,1,288.07,292.4644,283.76,283.9,135369567
2019-08-13,287.74,294.15,287.36,292.55,94713738,0,1,287.74,294.15,287.36,292.55,94713738
2019-08-12,289.96,291.6052,287.02,288.12,75230899,0,1,289.96,291.6052,287.02,288.12,75230899
2019-08-09,292.58,293.24,289.65,291.62,93702071,0,1,292.58,293.24,289.65,291.62,93702071
2019-08-08,289.62,293.62,289.01,293.62,87460322,0,1,289.62,293.62,289.01,293.62,87460322
2019-08-07,284.4,288.82,282.04,287.97,140409925,0,1,284.4,288.82,282.04,287.97,140409925
2019-08-06,285.91,288.04,284.28,287.8,120521001,0,1,285.91,288.04,284.28,287.8,120521001
2019-08-05,288.09,288.21,281.72,283.82,177891127,0,1,288.09,288.21,281.72,283.82,177891127
2019-08-02,293.85,294.12,290.9,292.62,116724483,0,1,293.85,294.12,290.9,292.62,116724483
2019-08-01,297.6,300.87,293.96,294.84,142531739,0,1,297.6,300.87,293.96,294.84,142531739
2019-07-31,300.99,301.2,295.2,297.43,104245162,0,1,300.99,301.2,295.2,297.43,104245162
2019-07-30,299.91,301.17,299.49,300.72,45813578,0,1,299.91,301.17,299.49,300.72,45813578
2019-07-29,301.88,301.93,300.85,301.46,38091054,0,1,301.88,301.93,300.85,301.46,38091054
2019-07-26,300.76,302.23,300.62,302.01,45022816,0,1,300.76,302.23,300.62,302.01,45022816
2019-07-25,300.94,301,299.11,300,55378544,0,1,300.94,301,299.11,300,55378544
2019-07-24,299.19,301.44,299.09,301.44,47213232,0,1,299.19,301.44,299.09,301.44,47213232
2019-07-23,299.14,300.03,298.22,300.03,44601745,0,1,299.14,300.03,298.22,300.03,44601745
2019-07-22,297.61,298.5,297.04,297.9,43652365,0,1,297.61,298.5,297.04,297.9,43652365
2019-07-19,300.04,300.07,296.96,297.17,70991785,0,1,300.04,300.07,296.96,297.17,70991785
2019-07-18,297.19,299.25,296.7,298.83,51589195,0,1,297.19,299.25,296.7,298.83,51589195
2019-07-17,299.75,299.93,297.74,297.74,43952969,0,1,299.75,299.93,297.74,297.74,43952969
