,q1signal,q1signalRolling,lastsignal,position,Adj_Close,rtnSPY,cRtn-SPY,rtnPort,cRtn-Port
2017-12-11,-0.00020055975523690622,9999.0,-0.00014574080773450897,0,257.605037249102,0.0017648605009199514,0.0017648605009199514,0.0,0.0
2017-12-12,-0.00023371771227547527,9999.0,-0.0008142871319799928,0,258.05967420418096,-0.00011245220780975451,0.0016522098306503974,-0.0,0.0
2017-12-13,-0.0002665102481759691,9999.0,-0.00017324056219463968,0,258.03065482407004,-0.004086223055295268,-0.0024407645225470453,-0.0,0.0
2017-12-14,-0.0002732894139507188,9999.0,0.0012819288652208439,0,256.976284013355,0.008286268162311705,0.00582527881040984,0.0,0.0
2017-12-15,-0.00034719785736862915,9999.0,-0.00017771584006221622,0,259.105658414044,0.006341225469964407,0.012203443686736426,0.0,0.0
2017-12-18,-0.00032254951244037935,9999.0,-0.00044819224790179656,0,260.748705814591,-0.003840417598805157,0.008316159768030795,-0.0,0.0
2017-12-19,-0.0002276865933437716,-0.0004946380603365833,-0.0005390838727713701,0,259.747321895915,-0.0005240109293735973,0.007787791080048345,-0.0,0.0
2017-12-20,-0.00016921924320756123,-0.0004946380603365833,0.0013534121734240037,0,259.611211460366,0.00205969366738068,0.009863525211399438,0.0,0.0
2017-12-21,-0.0003335638804316816,-0.0004946380603365833,-0.0006552880188708963,0,260.145931028592,-0.0002616040062818348,0.009599340867406214,-0.0,0.0
2017-12-22,-0.0003917016952610683,-0.0004946380603365833,0.0001229342698655455,1.0,260.077875810817,-0.001196216963850083,0.008391641009168671,-0.001196216963850083,-0.001196216963850083
2017-12-26,-0.0002963187109011014,-0.0004946380603365833,0.00012798372511579813,1.0,259.76676624385,0.0004865451551347988,0.008882269076580185,0.0004865451551347988,-0.0007102538222835131
2017-12-27,-0.0003807554742316242,-0.0004946380603365833,0.001568235297495045,0,259.89315450543097,0.002057459224898084,0.010958003207927947,0.0,-0.0007102538222835131
2017-12-28,-0.00030098330030866775,-0.00031231848268998896,-8.355309260860774e-05,0,260.427874073656,-0.003770485683353919,0.007146200530360414,-0.0,-0.0007102538222835131
