,q1signal,q1signalRolling,lastsignal,position,Adj_Close,rtnSPY,cRtn-SPY,rtnPort,cRtn-Port
2017-12-13,-0.0002520747759192227,9999.0,-0.00024606548739088753,0,258.03065482407004,-0.004086223055295268,-0.004086223055295268,-0.0,0.0
2017-12-14,-0.0003457468222400601,9999.0,0.0014221066625391284,0,256.976284013355,0.008286268162311705,0.004166185567009206,0.0,0.0
2017-12-15,-0.0003326562148436404,9999.0,-0.00022306146383230472,0,259.105658414044,0.006341225469964407,0.010533829759003632,0.0,0.0
2017-12-18,-0.00032264862306958077,9999.0,-0.0003506320785491605,0,260.748705814591,-0.003840417598805157,0.0066529578550091895,-0.0,0.0
2017-12-19,-0.0002382601820438612,9999.0,-0.0005234624497862266,0,259.747321895915,-0.0005240109293735973,0.006125460703007013,-0.0,0.0
2017-12-20,-4.5426961658366825e-05,9999.0,0.0015562400431629517,0,259.611211460366,0.00205969366738068,0.008197770943007443,0.0,0.0
2017-12-21,-0.0002386922209069284,-0.000425952586146473,-0.0004992730937437855,0,260.145931028592,-0.0002616040062818348,0.007934022367004356,-0.0,0.0
2017-12-22,-0.00043719931203593207,-0.000425952586146473,0.00014497067101901598,1.0,260.077875810817,-0.001196216963850083,0.006728314591007312,-0.001196216963850083,-0.001196216963850083
2017-12-26,-0.00033031428064797134,-0.000425952586146473,-0.0002923423983216922,0,259.76676624385,0.0004865451551347988,0.00721813337500854,0.0,-0.001196216963850083
2017-12-27,-0.0003818406241898918,-0.000425952586146473,0.0014824481321936414,0,259.89315450543097,0.002057459224898084,0.009290443615005639,0.0,-0.001196216963850083
2017-12-28,-0.00026022854158403786,-0.000467938023127026,-0.00043460295251026654,0,260.427874073656,-0.003770485683353919,0.0054849284470093185,-0.0,-0.001196216963850083
2017-12-29,-0.0002503378060336504,-0.0003644726754159794,0.0007981604475084802,1.0,259.445934502915,0.007157310949561735,0.012681496735002407,0.007157310949561735,0.005952532288938217
2018-01-02,-0.00022635192691872972,-0.000467938023127026,-0.0009897009076574122,0,261.302869730752,0.006325110689435087,0.019086819294994006,0.0,0.005952532288938217
2018-01-03,-0.00021270215962677065,-0.0007131519300838393,-0.0009974029483009086,0,262.955639305266,0.004214885199839147,0.023382153246991555,0.0,0.005952532288938217
2018-01-04,-0.00013748109093059853,-0.0007131519300838393,-4.9718445750645224e-05,0,264.063967137588,0.00666396671698144,0.030201937854982264,0.0,0.005952532288938217
2018-01-05,2.3196334323221366e-05,-0.0007131519300838393,0.00042048206219157683,1.0,265.823680625747,0.0018286884646345758,0.03208585625498195,0.0018286884646345758,0.007792106080704908
2018-01-08,-6.491678470878633e-05,-0.0008978539054617031,-0.000804006903265994,0,266.309789324134,0.002263434579441448,0.03442191507098191,0.0,0.007792106080704908
2018-01-09,-8.362412634899498e-05,-0.0008978539054617031,8.510588069903443e-05,0,266.912564110134,-0.0015298317185117316,0.03283942361498271,-0.0,0.007792106080704908
2018-01-10,-7.479291175044181e-05,-0.0008978539054617031,0.0009539454608964593,1.0,266.504232803489,0.007296074711803158,0.04037509721497323,0.007296074711803158,0.015145032580635265
2018-01-11,-9.604774895689547e-05,-0.00042786267450831963,0.0004051539670844565,1.0,268.448667597035,0.006518904823989757,0.04715720345496677,0.006518904823989757,0.02176266643057434
2018-01-12,-4.61904821474807e-05,-0.00021816310028281434,-0.00038460775481498344,0,270.19865891122697,-0.0034182498560715313,0.043577758494972585,-0.0,0.02176266643057434
