,raw_sSPY,raw_s_meanSPY,raw_volatilitySPY,raw_scoreSPY,sSPY,s_meanSPY,s_volatilitySPY,s_scoreSPY,s_volumeSPY,sv_meanSPY,sv_volatilitySPY,sv_scoreSPY,s_dispersionSPY,s_buzzSPY,s_deltaSPY,next_Return,today_Return,classret
2015-10-05,22.503,25.461,21.256999999999998,-0.139,17.471,13.168,11.215,0.384,664.0,1012.518,465.389,-0.7490000000000001,0.425,0.7809999999999999,-10.177,-0.0034262508015008653,0.01779487692308096,-1
2015-10-06,70.066,25.594,22.574,1.97,51.66,13.690999999999999,13.708,2.77,1258.0,1010.831,479.52099999999996,0.515,0.325,1.337,47.563,0.008190560985558667,-0.0034262508015008653,1
2015-10-07,29.813000000000002,23.505,19.795,0.319,22.904,12.342,10.683,0.9890000000000001,1099.0,994.4730000000001,470.79900000000004,0.222,0.33799999999999997,0.695,-40.253,0.009026643417552273,0.008190560985558667,1
2015-10-08,32.312,25.201999999999998,20.956999999999997,0.33899999999999997,18.489,13.308,11.054,0.469,1005.0,961.7560000000001,441.32199999999995,0.098,0.342,0.643,2.4989999999999952,0.0005963669590221308,0.009026643417552273,0
2015-10-09,41.897,26.596,21.258000000000003,0.72,25.546,14.353,11.312000000000001,0.9890000000000001,1215.0,977.319,441.72900000000004,0.5379999999999999,0.32299999999999995,1.524,9.585,0.0009437341584090223,0.0005963669590221308,0
2015-10-12,41.077,29.581999999999997,19.155,0.6,26.599,16.122,10.137,1.034,571.0,957.187,439.452,-0.879,0.371,0.8340000000000001,-0.8200000000000003,-0.006302123733582551,0.0009437341584090223,-1
2015-10-13,33.177,30.116999999999997,18.678,0.16399999999999998,22.945999999999998,16.555999999999997,9.798,0.652,893.0,929.475,444.529,-0.08199999999999999,0.35700000000000004,0.777,-7.899999999999999,-0.004794042446939376,-0.006302123733582551,-1
2015-10-14,9.533,29.081999999999997,19.1,-1.024,4.4030000000000005,15.645,9.957,-1.129,1038.0,927.932,442.665,0.249,0.327,1.224,-23.644,0.015354574276088925,-0.004794042446939376,1
2015-10-15,18.664,28.361,18.445,-0.526,10.515999999999998,15.04,9.562999999999999,-0.473,925.0,903.073,429.852,0.051,0.332,0.713,9.131000000000002,0.004546567693207898,0.015354574276088925,1
2015-10-16,61.772,29.72,19.791,1.62,37.869,16.01,10.931,2.0,992.0,906.71,425.67,0.2,0.331,0.871,43.108,0.0004919122252757885,0.004546567693207898,0
2015-10-19,24.883000000000003,33.137,14.109000000000002,-0.585,21.39,17.783,7.7139999999999995,0.46799999999999997,542.0,862.4830000000001,384.74699999999996,-0.833,0.39899999999999997,0.701,-36.888999999999996,-0.0012784285115408067,0.0004919122252757885,-1
2015-10-20,48.053000000000004,33.015,14.856,1.012,32.251999999999995,17.673,8.402000000000001,1.735,798.0,831.1460000000001,375.51599999999996,-0.08800000000000001,0.415,0.79,23.17,-0.006203510382531869,-0.0012784285115408067,-1
2015-10-21,21.927,31.799,14.674000000000001,-0.6729999999999999,12.011,16.813,7.8229999999999995,-0.614,890.0,809.56,361.18300000000005,0.223,0.316,1.129,-26.126000000000005,0.016893677971947456,-0.006203510382531869,1
2015-10-22,20.713,31.337,14.557,-0.73,11.614,16.632,7.827999999999999,-0.6409999999999999,1125.0,799.421,348.55300000000005,0.934,0.3,1.7790000000000001,-1.2139999999999986,0.010961707370207035,0.016893677971947456,1
2015-10-23,56.458999999999996,31.656999999999996,15.468,1.6030000000000002,37.711999999999996,17.202,9.344,2.195,1314.0,800.669,345.04900000000004,1.4880000000000002,0.29600000000000004,1.9340000000000002,35.745999999999995,-0.0024576888452987732,0.010961707370207035,-1
2015-10-26,31.47,32.34,13.24,-0.066,23.67,17.507,7.848,0.785,532.0,790.541,324.921,-0.7959999999999999,0.38299999999999995,0.753,-24.988999999999997,-0.0019323381642514788,-0.0024576888452987732,-1
2015-10-27,28.371,30.752,12.455,-0.191,16.352,16.494,7.181,-0.02,700.0,764.199,322.957,-0.19899999999999998,0.36700000000000005,0.631,-3.099,0.01137459308689265,-0.0019323381642514788,1
2015-10-28,35.288000000000004,31.162,12.538,0.32899999999999996,20.059,16.704,7.256,0.462,872.0,751.0160000000001,310.37,0.39,0.32799999999999996,0.853,6.917000000000005,-0.0005742761508602083,0.01137459308689265,0
2015-10-29,31.705,30.645,12.466,0.085,20.526,16.47,7.229,0.561,1181.0,755.3810000000001,315.437,1.349,0.301,1.714,-3.5830000000000055,-0.004309768670119675,-0.0005742761508602083,-1
2015-10-30,31.52,30.604,12.46,0.07400000000000001,21.241,16.553,7.265,0.645,790.0,754.153,309.793,0.11599999999999999,0.332,0.759,-0.18499999999999872,0.011830933885522369,-0.004309768670119675,1
2015-11-02,25.706,29.869,13.322000000000001,-0.313,19.747,16.361,7.468999999999999,0.45299999999999996,475.0,753.015,297.46299999999997,-0.935,0.4,0.623,-5.814,0.002899382113688411,0.011830933885522369,1
2015-11-03,50.68,31.018,14.312000000000001,1.374,29.092,17.051,7.819,1.54,935.0,747.37,302.777,0.62,0.33899999999999997,0.833,24.974,-0.003033170616110957,0.002899382113688411,-1
2015-11-04,45.104,32.478,14.436,0.875,25.713,17.86,7.59,1.035,938.0,744.378,300.401,0.645,0.336,1.4869999999999999,-5.5760000000000005,-0.0009983219195723316,-0.003033170616110957,0
2015-11-05,37.18,32.001999999999995,14.091,0.36700000000000005,20.187,17.607,7.433,0.34700000000000003,854.0,737.831,295.914,0.39299999999999996,0.311,1.508,-7.9239999999999995,-0.0005234404146621611,-0.0009983219195723316,0
2015-11-06,33.433,31.451999999999998,13.755,0.14400000000000002,21.936999999999998,17.604,7.407,0.585,918.0,749.02,296.594,0.57,0.326,1.392,-3.747,-0.009331513356122907,-0.0005234404146621611,-1
2015-11-09,16.517,30.724,13.027000000000001,-1.091,9.896,16.925,7.081,-0.993,509.0,741.179,306.996,-0.7559999999999999,0.373,0.809,-16.916,0.002306785829423574,-0.009331513356122907,1
2015-11-10,14.234000000000002,29.656,13.065999999999999,-1.18,7.297999999999999,16.484,7.152,-1.284,965.0,737.807,319.905,0.71,0.317,1.163,-2.2829999999999977,-0.003931688760376101,0.002306785829423574,-1
2015-11-11,35.056999999999995,30.579,12.652999999999999,0.354,18.755,17.116,6.6339999999999995,0.247,721.0,725.154,314.823,-0.013000000000000001,0.434,0.622,20.822999999999993,-0.013959800376435341,-0.003931688760376101,-1
2015-11-12,44.052,30.346999999999998,12.329,1.112,27.519000000000002,17.132,6.523,1.5919999999999999,911.0,703.448,282.994,0.733,0.321,1.6440000000000001,8.995000000000005,-0.011228290592232012,-0.013959800376435341,-1
2015-11-13,7.379,27.695,12.388,-1.64,2.622,15.390999999999998,6.669,-1.915,1261.0,722.705,306.66900000000004,1.755,0.304,1.976,-36.673,0.0152068831166552,-0.011228290592232012,1
2015-11-16,17.56,25.4,13.267000000000001,-0.591,11.72,13.782,7.486000000000001,-0.276,585.0,734.9060000000001,315.245,-0.47600000000000003,0.41,1.2990000000000002,10.181,-0.0007294718589990206,0.0152068831166552,0
2015-11-17,51.137,26.480999999999998,14.585999999999999,1.69,31.576,14.535,8.559,1.9909999999999999,1060.0,739.91,326.47900000000004,0.98,0.303,1.7109999999999999,33.577,0.01586603876057222,-0.0007294718589990206,1
2015-11-18,27.173000000000002,25.891,13.872,0.092,18.044,14.168,7.83,0.495,878.0,726.16,313.375,0.485,0.313,1.095,-23.964,-0.00086232455061497,0.01586603876057222,0
2015-11-19,64.814,27.526,16.439,2.2680000000000002,37.785,14.788,9.382,2.451,1031.0,738.698,321.343,0.91,0.29600000000000004,1.601,37.64099999999999,0.003644185994092959,-0.00086232455061497,1
2015-11-20,48.2,28.612,17.253,1.135,32.455999999999996,15.619000000000002,9.988,1.686,770.0,739.293,320.061,0.096,0.35700000000000004,0.682,-16.61399999999999,-0.0011465816362991633,0.003644185994092959,-1
2015-11-23,24.619,28.397,16.0,-0.23600000000000002,17.807000000000002,15.267000000000001,9.009,0.282,384.0,713.684,326.246,-1.011,0.461,0.535,-23.581000000000003,0.0013392595332939537,-0.0011465816362991633,1
2015-11-24,19.002,26.660999999999998,15.324000000000002,-0.5,12.692,14.255999999999998,8.433,-0.185,699.0,698.8939999999999,327.70099999999996,0.0,0.349,0.664,-5.617000000000001,-0.00014329591182598648,0.0013392595332939537,0
2015-11-25,35.755,26.875,15.300999999999998,0.58,21.561,14.37,8.551,0.841,746.0,695.056,326.95,0.156,0.33,1.127,16.753000000000004,0.0011465268105049539,-0.00014329591182598648,1
2015-11-27,5.101,25.701,16.028,-1.285,-0.221,13.539000000000001,9.044,-1.5219999999999998,279.0,652.573,338.401,-1.104,0.441,0.593,-30.654000000000003,-0.004151536592399425,0.0011465268105049539,-1
2015-11-30,27.678,26.118000000000002,15.792,0.099,22.873,13.855,9.186,0.982,429.0,617.818,332.673,-0.568,0.441,0.818,22.577,0.009535631706973918,-0.004151536592399425,1
2015-12-01,36.619,25.675,16.015,0.6829999999999999,24.237,13.478,9.137,1.178,807.0,618.764,338.39599999999996,0.556,0.342,0.7709999999999999,8.940999999999999,-0.010205022173131104,0.009535631706973918,-1
2015-12-02,47.93899999999999,27.075,17.052,1.224,26.237,14.140999999999998,9.522,1.27,828.0,613.806,334.911,0.64,0.335,0.838,11.319999999999993,-0.014002771850587186,-0.010205022173131104,-1
2015-12-03,24.561,27.607,17.15,-0.17800000000000002,14.527999999999999,14.753,9.263,-0.024,1009.0,608.494,322.622,1.2409999999999999,0.38799999999999996,1.724,-23.377999999999993,0.019502913187574685,-0.014002771850587186,1
2015-12-04,11.66,27.638,17.066,-0.9359999999999999,12.408,15.08,8.949,-0.299,1293.0,620.724,341.54699999999997,1.9680000000000002,0.308,2.1590000000000003,-12.901,-0.006058529864956155,0.019502913187574685,-1
2015-12-07,14.444,27.881,17.639,-0.762,10.17,15.005999999999998,9.097999999999999,-0.532,490.0,607.773,330.459,-0.35600000000000004,0.41600000000000004,1.298,2.7840000000000007,-0.006719505446045643,-0.006058529864956155,-1
2015-12-08,8.274,26.348000000000003,18.328,-0.986,2.912,14.117,9.621,-1.165,931.0,603.456,334.955,0.978,0.325,1.608,-6.170000000000002,-0.007779661866821264,-0.006719505446045643,-1
2015-12-09,52.43600000000001,25.980999999999998,16.692,1.585,33.793,14.132,9.276,2.12,865.0,593.264,323.47,0.84,0.33899999999999997,1.534,44.162000000000006,0.0025810802100121773,-0.007779661866821264,1
2015-12-10,16.123,23.945,15.397,-0.508,12.397,12.923,7.909,-0.066,1105.0,615.53,344.969,1.419,0.35600000000000004,1.886,-36.313,-0.01938111476613734,0.0025810802100121773,-1
2015-12-11,21.897,23.018,14.395999999999999,-0.078,9.413,12.079,7.643,-0.349,988.0,635.451,355.279,0.992,0.33799999999999997,1.808,5.773999999999997,0.005052451826516694,-0.01938111476613734,1
2015-12-14,19.128,22.197,15.515,-0.198,14.834000000000001,11.798,8.101,0.375,601.0,668.431,353.379,-0.191,0.489,1.433,-2.7689999999999984,0.010497807111811155,0.005052451826516694,1
2015-12-15,85.57799999999999,24.891,21.208000000000002,2.862,54.551,13.648,12.648,3.234,1163.0,680.4860000000001,376.77,1.281,0.331,1.631,66.44999999999999,0.014632005143794652,0.010497807111811155,1
2015-12-16,69.336,26.206999999999997,21.8,1.9780000000000002,41.622,14.369000000000002,12.460999999999999,2.187,927.0,704.927,378.60699999999997,0.5870000000000001,0.37,1.383,-16.24199999999999,-0.015238177259233567,0.014632005143794652,-1
2015-12-17,91.698,30.81,26.619,2.287,49.227,16.73,14.417,2.254,1317.0,762.688,385.461,1.4380000000000002,0.306,1.725,22.361999999999995,-0.017709640643803662,-0.015238177259233567,-1
2015-12-18,34.25,31.861,26.134,0.091,17.652,17.188,13.963,0.033,1180.0,804.95,377.05800000000005,0.995,0.32799999999999996,1.7480000000000002,-57.44799999999999,0.008249144920523168,-0.017709640643803662,1
2015-12-21,23.934,30.154,26.738000000000003,-0.233,16.717,16.165,14.352,0.038,449.0,820.81,376.19800000000004,-0.988,0.45899999999999996,0.662,-10.315999999999999,0.009074240185197018,0.008249144920523168,1
2015-12-22,57.345,30.256,27.178,0.997,33.047,16.154,14.729000000000001,1.147,851.0,813.419,380.852,0.099,0.36,0.87,33.411,0.012383312039309166,0.009074240185197018,1
2015-12-23,53.206,31.739,27.506,0.78,31.914,16.909000000000002,14.882,1.008,812.0,806.128,378.978,0.015,0.345,0.7,-4.138999999999996,-0.001650378571972929,0.012383312039309166,-1
2015-12-24,62.766000000000005,34.551,27.693,1.0190000000000001,32.381,18.096,14.833,0.963,739.0,779.523,364.37300000000005,-0.111,0.33,0.7020000000000001,9.560000000000002,-0.002285035083605526,-0.001650378571972929,-1
2015-12-28,17.887999999999998,33.655,27.699,-0.569,11.151,17.732,14.790999999999999,-0.445,378.0,709.245,407.936,-0.812,0.479,0.5710000000000001,-44.87800000000001,0.010671930828405589,-0.002285035083605526,1
2015-12-29,44.193999999999996,33.801,27.844,0.373,36.405,18.352999999999998,15.412,1.171,685.0,692.798,409.829,-0.019,0.355,0.853,26.305999999999997,-0.007087758160686205,0.010671930828405589,-1
2015-12-30,33.086999999999996,33.435,27.701999999999998,-0.013000000000000001,20.011,17.851,14.690999999999999,0.147,645.0,666.7689999999999,396.976,-0.055,0.37799999999999995,0.706,-11.107,-0.010003389841324537,-0.007087758160686205,-1
2015-12-31,24.885,33.941,28.002,-0.32299999999999995,19.551,18.261,14.699000000000002,0.08800000000000001,729.0,663.0930000000001,394.115,0.16699999999999998,0.34299999999999997,1.34,-8.201999999999995,-0.013979452935191585,-0.010003389841324537,-1
2016-01-04,14.655999999999999,30.686,26.68,-0.601,9.642999999999999,15.76,13.815999999999999,-0.44299999999999995,753.0,601.016,367.64599999999996,0.413,0.452,1.729,-10.229000000000003,0.0016913590350956071,-0.013979452935191585,1
2016-01-05,30.89,28.209,24.285,0.11,21.401999999999997,14.605,12.511,0.5429999999999999,1104.0,596.887,375.955,1.349,0.345,1.465,16.234,-0.012614193421664066,0.0016913590350956071,-1
2016-01-06,22.65,24.761999999999997,19.264,-0.11,11.435,12.687999999999999,9.774,-0.128,975.0,586.302,360.339,1.079,0.47100000000000003,1.601,-8.240000000000002,-0.023991569419870754,-0.012614193421664066,-2
2016-01-07,-6.067,22.430999999999997,20.333,-1.402,-2.0469999999999997,11.437999999999999,10.429,-1.2930000000000001,1494.0,603.2919999999999,395.459,2.252,0.33899999999999997,2.0340000000000003,-28.717,-0.010976578031799513,-0.023991569419870754,-1
2016-01-08,22.772,22.566999999999997,20.535999999999998,0.01,16.979,11.467,11.282,0.489,1570.0,627.602,431.941,2.182,0.326,1.976,28.839,0.0009900114734288856,-0.010976578031799513,0
2016-01-11,12.969000000000001,20.366,19.007,-0.389,10.672,10.552,10.362,0.012,730.0,672.6310000000001,448.102,0.128,0.426,1.579,-9.802999999999997,0.008068309780499086,0.0009900114734288856,1
2016-01-12,36.982,19.395,17.729,0.992,25.815,10.363,10.119,1.527,1499.0,703.582,487.555,1.631,0.305,1.926,24.012999999999998,-0.024940627389431553,0.008068309780499086,-2
2016-01-13,24.086,17.058,13.534,0.519,10.995999999999999,8.999,8.048,0.248,1163.0,719.0989999999999,491.73400000000004,0.903,0.349,1.207,-12.896,0.01641683507475336,-0.024940627389431553,1
2016-01-14,-11.855,15.610999999999999,15.525,-1.7690000000000001,1.9040000000000001,8.805,8.495,-0.812,1881.0,802.568,549.941,1.9609999999999999,0.297,2.051,-35.941,-0.021466134269071752,0.01641683507475336,-2
2016-01-15,33.38,16.734,16.917,0.9840000000000001,8.141,8.744,8.937000000000001,-0.068,1696.0,870.6310000000001,537.314,1.536,0.28800000000000003,1.8319999999999999,45.235,0.001331132541730346,-0.021466134269071752,1
2016-01-19,26.318,14.913,15.898,0.7170000000000001,18.701,8.248,8.717,1.199,793.0,939.7139999999999,540.14,-0.272,0.43,1.321,-7.062000000000001,-0.012815080429808423,0.001331132541730346,-1
2016-01-20,-13.219000000000001,12.955,16.941,-1.545,-12.46,6.895,9.777999999999999,-1.979,1643.0,982.993,563.298,1.172,0.401,1.546,-39.537000000000006,0.005601982405664295,-0.012815080429808423,1
2016-01-21,30.143,14.07,16.874000000000002,0.953,23.639,7.997999999999999,10.067,1.554,1973.0,1046.326,595.025,1.557,0.311,1.682,43.362,0.020515303224434754,0.005601982405664295,1
2016-01-22,62.708,16.352,19.743,2.3480000000000003,38.388000000000005,9.182,11.582,2.522,1341.0,1106.39,565.317,0.415,0.326,0.915,32.565,-0.015116549126252628,0.020515303224434754,-1
2016-01-25,15.529000000000002,17.816,22.766,-0.1,9.654,9.332,11.585999999999999,0.027999999999999997,531.0,1092.135,565.401,-0.992,0.444,0.634,-47.178999999999995,0.013643135864648185,-0.015116549126252628,1
2016-01-26,28.959,18.404,22.824,0.462,23.728,10.28,11.914000000000001,1.129,1109.0,1094.799,569.511,0.025,0.33399999999999996,0.5870000000000001,13.429999999999998,-0.010883238867767984,0.013643135864648185,-1
2016-01-27,60.297,21.311,23.788,1.639,34.662,11.934000000000001,11.745999999999999,1.935,1150.0,1079.014,564.8480000000001,0.126,0.391,0.691,31.337999999999997,0.0052091424757072565,-0.010883238867767984,1
2016-01-28,30.691999999999997,21.593000000000004,24.088,0.37799999999999995,10.762,11.475,11.364,-0.063,1424.0,1068.8,555.693,0.639,0.287,1.28,-29.605,0.024377346388989935,0.0052091424757072565,2
2016-01-29,33.1,23.631999999999998,24.23,0.391,22.854,12.823,11.564,0.867,1219.0,1070.633,553.715,0.268,0.293,0.639,2.408000000000005,-0.0003613824057344231,0.024377346388989935,0
2016-02-01,18.108,25.005,27.415,-0.252,12.499,12.934000000000001,12.989,-0.034,635.0,1047.512,548.24,-0.752,0.37799999999999995,0.583,-14.992,-0.018022153927871296,-0.0003613824057344231,-1
2016-02-02,45.766999999999996,25.423000000000002,27.793000000000003,0.732,21.840999999999998,12.883,13.159,0.6809999999999999,1049.0,1031.048,551.188,0.033,0.303,0.59,27.658999999999995,0.005994946234852727,-0.018022153927871296,1
2016-02-03,8.195,26.928,26.18,-0.716,2.63,13.427,12.767999999999999,-0.846,1252.0,1009.444,535.36,0.45299999999999996,0.311,0.932,-37.571999999999996,0.0015682331170706783,0.005994946234852727,1
2016-02-04,47.513000000000005,27.375,26.228,0.768,27.659000000000002,14.202,13.07,1.03,1208.0,982.308,510.281,0.442,0.3,0.9159999999999999,39.318000000000005,-0.019050150760435848,0.0015682331170706783,-1
2016-02-05,26.775,27.705,25.655,-0.036000000000000004,11.591,14.114,12.672,-0.19899999999999998,958.0,955.058,487.44,0.006,0.324,0.669,-20.738000000000007,-0.013461021763141554,-0.019050150760435848,-1
2016-02-08,2.218,26.454,26.906999999999996,-0.9009999999999999,-0.425,13.09,13.385,-1.01,678.0,982.5039999999999,477.31699999999995,-0.638,0.40700000000000003,0.754,-24.557,5.390464948659269e-05,-0.013461021763141554,0
2016-02-09,19.553,28.086,25.519000000000002,-0.33399999999999996,12.183,14.343,12.162,-0.17800000000000002,1423.0,968.418,475.69300000000004,0.956,0.318,1.514,17.335,-0.0008628000109984378,5.390464948659269e-05,0
2016-02-10,52.443000000000005,29.463,26.087,0.8809999999999999,40.266999999999996,15.494000000000002,13.612,1.82,1277.0,929.919,411.779,0.843,0.305,1.518,32.89,-0.013008058228358382,-0.0008628000109984378,-1
2016-02-11,-10.482000000000001,25.070999999999998,25.898000000000003,-1.3730000000000002,-8.776,12.640999999999998,13.014000000000001,-1.646,1423.0,935.36,417.027,1.169,0.29100000000000004,1.551,-62.925000000000004,0.020616887123390937,-0.013008058228358382,2
2016-02-12,25.765,24.408,22.394000000000002,0.061,20.988000000000003,12.735999999999999,11.429,0.722,1535.0,967.52,436.375,1.3,0.301,1.7519999999999998,36.247,0.016878282782018177,0.020616887123390937,1
2016-02-16,37.13,23.997,20.686999999999998,0.635,23.051,12.618,10.727,0.973,669.0,927.18,445.499,-0.58,0.381,0.547,11.365000000000002,0.016334735042336707,0.016878282782018177,1
2016-02-17,72.439,25.746,23.198,2.013,40.852,13.925999999999998,12.591,2.1390000000000002,987.0,900.957,433.048,0.19899999999999998,0.345,0.602,35.30899999999999,-0.004095857421820491,0.016334735042336707,-1
2016-02-18,48.387,26.621,22.638,0.961,31.461,14.615,12.595,1.337,1083.0,898.562,430.911,0.428,0.36200000000000004,1.5190000000000001,-24.051999999999992,-0.00046850956256812477,-0.004095857421820491,0
2016-02-19,7.233,23.43,19.894000000000002,-0.8140000000000001,0.938,12.857999999999999,11.73,-1.016,1044.0,895.663,427.19,0.34700000000000003,0.317,1.285,-41.154,0.014479161458336567,-0.00046850956256812477,1
2016-02-22,36.624,24.64,17.712,0.677,27.619,14.204,11.033,1.216,627.0,889.018,426.702,-0.614,0.39899999999999997,0.735,29.391000000000002,-0.012629592425453537,0.014479161458336567,-1
2016-02-23,38.391999999999996,25.485,17.512999999999998,0.737,17.506,14.293,10.42,0.308,1050.0,874.038,427.629,0.41100000000000003,0.305,1.2229999999999999,1.7679999999999936,0.004575654991527696,-0.012629592425453537,1
2016-02-24,21.868000000000002,25.241999999999997,18.048,-0.187,10.952,14.117,10.59,-0.299,1205.0,872.654,425.165,0.782,0.298,1.598,-16.523999999999994,0.012111780726373375,0.004575654991527696,1
2016-02-25,48.423,25.833000000000002,18.743,1.205,22.714000000000002,14.335,10.815999999999999,0.775,1268.0,883.6560000000001,431.745,0.89,0.287,1.652,26.555,-0.0023013041633900637,0.012111780726373375,-1
2016-02-26,127.96799999999999,32.466,29.396,3.2489999999999997,78.14399999999999,18.535999999999998,17.812,3.347,1371.0,903.0060000000001,443.30199999999996,1.056,0.268,1.8940000000000001,79.54499999999999,-0.00784252412409961,-0.0023013041633900637,-1
2016-02-29,12.776,34.164,24.552,-0.871,6.86,18.980999999999998,14.052999999999999,-0.863,487.0,875.875,423.7,-0.9179999999999999,0.405,0.71,-115.192,0.023506938659922465,-0.00784252412409961,2
2016-03-01,36.07,34.429,24.366,0.067,24.965,19.377,13.959000000000001,0.4,963.0,855.552,417.165,0.258,0.35200000000000004,1.3090000000000002,23.294,0.004492448616964101,0.023506938659922465,1
2016-03-02,63.955,36.333,25.105999999999998,1.1,32.008,20.311,13.779000000000002,0.8490000000000001,1136.0,839.2739999999999,400.32800000000003,0.741,0.32799999999999996,1.462,27.884999999999998,0.003919592964826766,0.004492448616964101,1
2016-03-03,44.449,37.876999999999995,25.154,0.261,23.593000000000004,20.77,13.849,0.204,933.0,811.066,367.62199999999996,0.332,0.41700000000000004,1.393,-19.506,0.003253548920080469,0.003919592964826766,1
