,raw_sSPY,raw_s_meanSPY,raw_volatilitySPY,raw_scoreSPY,sSPY,s_meanSPY,s_volatilitySPY,s_scoreSPY,s_volumeSPY,sv_meanSPY,sv_volatilitySPY,sv_scoreSPY,s_dispersionSPY,s_buzzSPY,s_deltaSPY,next_Return,today_Return,classret
2015-09-01,22.111,23.923000000000002,28.768,-0.063,8.854,11.339,15.645999999999999,-0.159,1443.0,1149.103,685.132,0.429,0.32799999999999996,1.321,,0.018981070678811607,-0.029847695956370063,1
2015-09-02,17.711,23.201999999999998,28.526,-0.192,14.434000000000001,11.27,15.460999999999999,0.205,1523.0,1153.905,688.424,0.536,0.377,1.265,-4.400000000000002,0.0007164372198687125,0.018981070678811607,0
2015-09-03,62.872,24.468000000000004,29.948,1.2819999999999998,34.739000000000004,11.967,16.36,1.392,1139.0,1172.57,688.806,-0.049,0.345,0.792,45.161,-0.015136829223167234,0.0007164372198687125,-1
2015-09-04,14.692,23.451,29.819000000000003,-0.294,2.123,11.077,16.339000000000002,-0.5479999999999999,1250.0,1204.869,674.872,0.067,0.34299999999999997,0.735,-48.18,0.025131092478971023,-0.015136829223167234,2
2015-09-08,39.969,23.064,30.215,0.5589999999999999,31.96,11.520999999999999,17.096,1.196,676.0,1195.6,686.8710000000001,-0.7559999999999999,0.433,0.894,25.277,-0.01337182846377336,0.025131092478971023,-1
2015-09-09,61.243,24.56,31.307,1.172,34.419000000000004,12.267999999999999,17.347,1.2770000000000001,1267.0,1187.231,692.58,0.115,0.305,0.772,21.274,0.005441824724536203,-0.01337182846377336,1
2015-09-10,12.589,26.165,31.103,-0.436,10.225,13.315,17.006,-0.182,1351.0,1156.527,671.357,0.29,0.309,1.2429999999999999,-48.654,0.004544288857462453,0.005441824724536203,1
2015-09-11,28.160999999999998,26.822,30.996,0.043,16.059,13.675,16.969,0.14,1081.0,1112.09,631.27,-0.049,0.34,0.748,15.571999999999997,-0.0037105315718575877,0.004544288857462453,-1
2015-09-14,25.311999999999998,29.915,27.750999999999998,-0.166,15.959000000000001,15.277000000000001,14.315,0.048,559.0,991.278,574.841,-0.752,0.42200000000000004,0.838,-2.849,0.012499423817650323,-0.0037105315718575877,1
2015-09-15,39.348,30.897,27.08,0.312,25.614,15.872,14.155999999999999,0.688,940.0,934.961,536.732,0.009000000000000001,0.36,0.665,14.036000000000001,0.008666663001778275,0.012499423817650323,1
2015-09-16,56.003,29.138,24.263,1.107,31.662,14.842,12.526,1.3430000000000002,1090.0,891.961,489.095,0.405,0.39,0.823,16.655,-0.002247961912957167,0.008666663001778275,-1
2015-09-17,63.756,29.201,24.298000000000002,1.422,37.567,15.222999999999999,13.117,1.703,1238.0,870.748,457.663,0.802,0.33,1.426,7.753,-0.01625694219710387,-0.002247961912957167,-1
2015-09-18,26.642,27.241999999999997,22.5,-0.027000000000000003,18.061,14.295,12.061,0.312,1921.0,921.336,515.2719999999999,1.94,0.293,1.999,-37.114000000000004,0.005167613279626395,-0.01625694219710387,1
2015-09-21,7.537999999999999,26.318,22.838,-0.8220000000000001,5.516,13.327,12.439,-0.628,680.0,900.618,483.785,-0.456,0.396,1.4,-19.104,-0.012979756231000691,0.005167613279626395,-1
2015-09-22,10.484000000000002,25.854,22.816,-0.674,4.261,12.857999999999999,12.517000000000001,-0.687,1132.0,866.6410000000001,464.805,0.5710000000000001,0.36,1.484,2.9460000000000024,-0.0015986694528613223,-0.012979756231000691,-1
2015-09-23,19.305,23.99,21.199,-0.221,11.296,11.92,11.517999999999999,-0.054000000000000006,1205.0,867.9860000000001,466.209,0.723,0.32899999999999996,1.334,8.820999999999998,-0.0036157643507515186,-0.0015986694528613223,-1
2015-09-24,18.105,23.686,21.285999999999998,-0.262,9.621,11.984000000000002,11.450999999999999,-0.20600000000000002,1262.0,872.245,469.414,0.83,0.32,1.642,-1.1999999999999993,-0.00025913945855265117,-0.0036157643507515186,0
2015-09-25,61.867,26.627,22.6,1.5590000000000002,40.016,13.847999999999999,12.939,2.022,1260.0,884.7639999999999,469.735,0.799,0.316,1.517,43.762,-0.025097282081498997,-0.00025913945855265117,-2
2015-09-28,-6.289,25.276999999999997,22.264,-1.4180000000000001,-9.852,12.302999999999999,12.545,-1.766,792.0,938.363,441.38199999999995,-0.332,0.385,1.571,-68.15599999999999,0.000585075277513261,-0.025097282081498997,0
2015-09-29,7.7860000000000005,22.822,18.729,-0.8029999999999999,8.032,11.512,9.916,-0.35100000000000003,1566.0,945.0110000000001,472.564,1.314,0.307,1.723,14.075,0.01865835686419373,0.000585075277513261,1
2015-09-30,48.506,23.689,21.13,1.1740000000000002,33.565,12.251,11.854000000000001,1.798,1314.0,944.823,472.392,0.782,0.313,1.62,40.72,0.0026091947344052146,0.01865835686419373,1
2015-10-01,37.338,23.906,20.999000000000002,0.64,22.955,12.363,11.41,0.9279999999999999,1264.0,953.091,476.539,0.652,0.40700000000000003,1.392,-11.168,0.014937776116747363,0.0026091947344052146,1
2015-10-02,32.68,23.735,20.676,0.433,14.870999999999999,12.002,11.084000000000001,0.259,1411.0,983.326,483.538,0.884,0.28300000000000003,1.726,-4.658000000000001,0.01779487692308096,0.014937776116747363,1
