Date,raw-s-delta,volume-delta,ewm_last20_volume_base_s,ewm_last20_raw_s,ewm_last20_s_volume,ewm_last20_s_dispersion,ewm_volume_base_s,ewm_raw_s,ewm_s_volume,ewm_s_dispersion,mean_volume_base_s,mean_raw_s,mean_s_volume,mean_s_dispersion,count,daily_min_raw_s,daily_q1_raw_s,daily_mid_raw_s,daily_q2_raw_s,daily_max_raw_s,daily_sd_volume_base_s,daily_sd_raw_s,daily_sd_s_volume,daily_sd_s_dispersion,volume_base_s_coff,raw_s_coff,s_volume_coff,s_dispersion_coff,volume_base_s_deg,raw_s_deg,s_volume_deg,s_dispersion_deg,volume_base_s_wave,raw_s_wave,s_volume_wave,s_dispersion_wave,next_Return,today_Return,classret,sd_Return,volume_base_s_delta,s_dispersion_delta,volume_base_s_z,raw_s_z,s_volume_z,s_dispersion_z,volume_base_s_MACD_ewma12-ewma26,raw_s_MACD_ewma12-ewma26,s_volume_MACD_ewma12-ewma26,s_dispersion_MACD_ewma12-ewma26
2015-08-28,-3.508000000000002,7.0,0.03117704889714775,0.07399043482714114,1.269200431283847,0.9817802803919291,0.03503270179943984,0.06698258891026233,1.1841657813359252,0.986325891077835,2.0536666666666665,3.951999999999999,73,61.167,62,-0.65,-0.075,0.0,0.23475000000000001,0.738,0.23026852333182013,0.273741228498374,0.42558324678859005,0.0757148708714048,0.06213700839676786,0.17553925842956047,6.363961030678931,5.568465901844064,2,2,2,2,6,6,6,6,-0.008079089763540388,5.015807597029e-05,-1,0.008921439897820715,-4.141833333333335,6.167000000000002,0.5494775922475278,0.9900728239707096,0.5430329027316241,0.5450974746475604,0.6255999599581518,0.8265930923072224,9.418014014979448,6.923140686959783
2015-08-31,-4.510999999999999,-29.0,-0.009487233359470725,-0.010965484538345881,1.0478904705648218,0.995154902983658,-0.011630427105702673,-0.014337850967304272,1.073429811948673,0.9880131386972977,-0.4480000000000001,-0.559,44,40.5,41,-0.708,-0.081,0.0,0.055999999999999994,0.594,0.2397913822725811,0.24598249491554894,0.2636516548818748,0.07808688094430302,-0.006717514421272228,-0.026339727599198934,6.187184335382293,5.568465901844064,2,2,2,2,6,6,6,6,-0.029847695956370063,-0.008079089763540388,-2,0.008936308031083888,-2.5016666666666665,-20.667,-0.2638390569871834,-0.30809260575370645,-0.4544549143713226,-0.4065996149941599,0.42933637029369187,0.5696364285191928,6.17496863897631,4.588161246266097
2015-09-01,-1.4229999999999996,34.0,-0.05029119074793861,-0.04419925139319365,1.1330247012020098,0.9997855373855935,-0.029525702182468222,-0.028818079423874533,1.2200353809725202,0.993070019705197,-2.0174999999999996,-1.9819999999999995,78,63.5,64,-0.75,-0.223,0.0,0.14475000000000002,0.65,0.263393184992547,0.2878950960150656,0.4869324127670847,0.06250000000000001,-0.2521875000000001,-0.24775000000000005,9.750000000000005,7.937500000000003,1,1,1,1,7,7,7,7,0.018981070678811607,-0.029847695956370063,2,0.009133889841592212,-1.5694999999999995,23.0,-0.8164799183544323,-0.7474199947939992,0.6391320340321981,0.5753630942467457,0.1590730676218549,0.26088908141314493,6.0054549269957676,4.35863757859331
2015-09-02,0.22499999999999987,-27.0,-0.08638348096554278,-0.09302558206394533,1.1012300164401638,1.0,-0.04214285945584679,-0.041755358912878036,1.1341699866154147,1.0,-1.794833333333333,-1.7569999999999997,51,45.0,45,-0.65,-0.25,-0.025,0.083,0.65,0.30383678837075057,0.31814468946431185,0.4045199174779453,0.0,-0.14519259240363785,-0.11932426932522992,6.540737725975567,5.6568542494923815,2,2,2,2,6,6,6,6,0.0007164372198687125,0.018981070678811607,0,0.009208500678744692,0.22266666666666657,-18.5,-0.6930446333327359,-0.6386740884668335,-0.3218106067306165,-0.31246792359231657,-0.037593840007228096,0.03317981357837396,3.857018230926613,2.7952662999312707
2015-09-03,4.543000000000001,29.0,0.002668040160355631,-0.017690744634754434,1.1166766228197824,0.9961196646337691,0.042243297766254816,0.03825681123102976,1.1425190780545156,0.9949291131640887,3.086166666666668,2.786000000000001,80,69.667,70,-0.887,-0.097,0.0,0.1295,1.331,0.2774839896462621,0.34697344007278424,0.39141935278017215,0.039801112690835305,0.3677708333333335,0.3767500000000002,9.125000000000005,7.958375000000002,2,2,2,2,7,7,7,7,-0.015136829223167234,0.0007164372198687125,-1,0.009207137812087294,4.881000000000001,24.667,0.9185001065902086,0.6822016562765832,0.6345795956025616,0.7898669664144486,0.16381925930605168,0.18498894413923905,4.241320017255532,3.3339236464587643
2015-09-04,-5.5680000000000005,-7.0,0.04932187809538567,0.053707713217360245,1.1852298940985264,0.999608607136873,-0.023136538164859867,-0.03893632939628299,1.233477893066191,0.9923414386576971,-1.7772500000000013,-2.7819999999999996,73,58.5,59,-0.8370000000000001,-0.21650000000000003,0.0,0.2,0.5,0.27218713205320294,0.3195288456871829,0.5362379506193077,0.06509445549041191,-0.6282201809104235,-0.8331485649330499,7.247844507162116,5.568465901844064,2,2,2,2,6,6,6,6,0.025131092478971023,-0.015136829223167234,2,0.009248276814181307,-4.863416666666669,-11.167000000000002,-0.673011678961831,-0.9153573228507558,0.3192861203388654,0.16680171414309442,-0.036466067468644614,-0.1058151042688284,3.980370038168232,2.8992802118294136
2015-09-08,4.247,-16.0,0.029654855992245047,0.02609290741423563,1.0675366533881492,1.0,0.028334017047659518,0.027399418913013774,1.0569933206460025,1.0,1.4949999999999999,1.4649999999999999,57,54.0,54,-0.65,0.0,0.015,0.18575000000000003,0.563,0.26383736228715654,0.27181007841535626,0.23121228232266408,0.0,0.2620714507772643,0.29592418792657027,5.83363094478902,5.6568542494923815,2,2,2,2,6,6,6,6,-0.01337182846377336,0.025131092478971023,-1,0.009381139116876188,3.2722500000000014,-4.5,0.345015923896215,0.25128221062505746,-0.33981570311760384,-0.11736055941018536,0.0483352541515123,-0.019186204928626327,2.552667836392871,2.1948882827462697
2015-09-09,1.084,20.0,0.09892636102094853,0.10785777751961932,1.268518126889967,0.9982720078950659,0.0337043529247728,0.046224820432298246,1.2484468535457536,0.9966788574448578,1.8027,2.549,77,61.8,62,-0.65,-0.16625,0.0,0.2965,0.846,0.28270539997596167,0.3228156914563625,0.6449166643576172,0.025400025400038086,0.04065863991822643,0.08043339635996972,6.540737725975567,5.6568542494923815,2,2,2,2,6,6,6,6,0.005441824724536203,-0.01337182846377336,1,0.009419297372615845,0.3077000000000001,7.799999999999997,0.4108330744096801,0.5354670136297903,0.40040389216074773,0.2556645310886008,0.13684441682667203,0.12901741760511465,2.8882903186702578,2.1965688957624536
2015-09-10,-6.908999999999999,17.0,-0.013811578282607095,-0.01696021086817374,1.1982087745820826,0.9881065098307278,-0.0320331077320265,-0.054092222420452446,1.2431363224158545,0.9867098354802797,-2.561833333333333,-4.359999999999999,94,75.0,76,-1.5,-0.189,0.0,0.11524999999999999,0.6,0.299836532161307,0.34939970776958823,0.5625755309913287,0.0805681579172283,-0.2356041666666668,-0.4683750000000002,10.000000000000004,7.8750000000000036,2,2,2,2,7,7,7,7,0.004544288857462453,0.005441824724536203,0,0.009418177881395809,-4.364533333333333,13.200000000000003,-1.0834022949602236,-1.475708222895377,1.0115835676262244,0.9447033391086423,-0.12052566406821585,-0.2710564416123648,4.38322452283299,3.1554370569238515
2015-09-11,0.04300000000000015,-41.0,-0.018343870565118745,-0.057467957772427004,1.195913342426669,1.0,-0.07453277033627903,-0.0925233622277095,1.1551959492523678,1.0,-3.5299999999999967,-4.316999999999999,53,46.0,46,-0.733,-0.303,-0.1125,0.08475,0.575,0.2956758874761055,0.32679344256927834,0.36315844747302034,0.0,-0.6401968020167705,-0.7226631303726518,6.540737725975568,5.6568542494923815,2,2,2,2,6,6,6,6,-0.0037105315718575877,0.004544288857462453,0,0.009422309407088714,-0.9681666666666637,-29.0,-1.3168477994103236,-1.341354311377215,-0.6724465828592795,-0.7712919373862795,-0.3928741125912353,-0.5775909560464045,2.433195210098944,1.6984621754420743
