Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,311.02,311.84,310.26,311.79,61990853,0,1,311.02,311.84,310.26,311.79,61990853
2019-11-14,308.79,309.64,308.09,309.55,51148052,0,1,308.79,309.64,308.09,309.55,51148052
2019-11-13,307.91,309.54,307.66,309.1,54261698,0,1,307.91,309.54,307.66,309.1,54261698
2019-11-12,308.75,309.99,308.15,309,46141997,0,1,308.75,309.99,308.15,309,46141997
2019-11-11,307.42,308.54,307.27,308.35,35775777,0,1,307.42,308.54,307.27,308.35,35775777
2019-11-08,307.8,309.0036,307.03,308.94,49019213,0,1,307.8,309.0036,307.03,308.94,49019213
2019-11-07,308.5758,309.65,307.66,308.18,53823043,0,1,308.5758,309.65,307.66,308.18,53823043
2019-11-06,307.03,307.4,306.06,307.1,46402927,0,1,307.03,307.4,306.06,307.1,46402927
2019-11-05,307.59,307.9195,306.71,307.03,42809998,0,1,307.59,307.9195,306.71,307.03,42809998
2019-11-04,307.85,308,306.96,307.37,60270655,0,1,307.85,308,306.96,307.37,60270655
2019-11-01,304.916,306.19,304.74,306.14,71071915,0,1,304.916,306.19,304.74,306.14,71071915
2019-10-31,304.13,304.13,301.73,303.33,68955393,0,1,304.13,304.13,301.73,303.33,68955393
2019-10-30,303.43,304.55,301.99,304.14,49542312,0,1,303.43,304.55,301.99,304.14,49542312
2019-10-29,303.0001,304.23,302.86,303.21,44201626,0,1,303.0001,304.23,302.86,303.21,44201626
2019-10-28,302.94,303.85,302.91,303.3,42076051,0,1,302.94,303.85,302.91,303.3,42076051
2019-10-25,299.74,302.2,299.6806,301.6,45145150,0,1,299.74,302.2,299.6806,301.6,45145150
2019-10-24,300.91,301.07,299.4601,300.37,35688865,0,1,300.91,301.07,299.4601,300.37,35688865
2019-10-23,298.73,299.94,298.495,299.88,34857719,0,1,298.73,299.94,298.495,299.88,34857719
2019-10-22,300.58,300.9,298.91,299.01,49028214,0,1,300.58,300.9,298.91,299.01,49028214
2019-10-21,299.42,300.21,298.935,299.99,39388285,0,1,299.42,300.21,298.935,299.99,39388285
2019-10-18,298.69,299.395,296.99,297.97,64293228,0,1,298.69,299.395,296.99,297.97,64293228
2019-10-17,299.68,300.24,298.515,299.28,46676445,0,1,299.68,300.24,298.515,299.28,46676445
2019-10-16,298.37,299.16,297.92,298.4,50293197,0,1,298.37,299.16,297.92,298.4,50293197
2019-10-15,297.1,299.7,296.97,298.88,48123837,0,1,297.1,299.7,296.97,298.88,48123837
2019-10-14,295.93,296.67,295.57,295.95,40467320,0,1,295.93,296.67,295.57,295.95,40467320
2019-10-11,296.27,298.74,296.1448,296.28,101099695,0,1,296.27,298.74,296.1448,296.28,101099695
2019-10-10,291.18,294.21,291,293.24,54459839,0,1,291.18,294.21,291,293.24,54459839
2019-10-09,290.75,292.3,288.6559,291.27,64341784,0,1,290.75,292.3,288.6559,291.27,64341784
2019-10-08,291.04,291.85,288.49,288.53,101367099,0,1,291.04,291.85,288.49,288.53,101367099
2019-10-07,293.47,295.26,292.77,293.08,60549809,0,1,293.47,295.26,292.77,293.08,60549809
2019-10-04,291.14,294.63,290.82,294.35,66737063,0,1,291.14,294.63,290.82,294.35,66737063
2019-10-03,287.81,290.45,284.82,290.42,85718095,0,1,287.81,290.45,284.82,290.42,85718095
2019-10-02,291.5,291.51,286.64,288.06,124208927,0,1,291.5,291.51,286.64,288.06,124208927
2019-10-01,297.74,298.455,293,293.24,89425082,0,1,297.74,298.455,293,293.24,89425082
2019-09-30,295.97,297.55,295.92,296.77,52438861,0,1,295.97,297.55,295.92,296.77,52438861
2019-09-27,297.83,297.9465,293.69,295.4,84755721,0,1,297.83,297.9465,293.69,295.4,84755721
2019-09-26,297.63,297.86,295.45,297,58594707,0,1,297.63,297.86,295.45,297,58594707
2019-09-25,295.96,298.11,294.33,297.62,73267803,0,1,295.96,298.11,294.33,297.62,73267803
2019-09-24,299.41,299.84,294.81,295.87,97160127,0,1,299.41,299.84,294.81,295.87,97160127
2019-09-23,297.55,299,297.27,298.21,47134009,0,1,297.55,299,297.27,298.21,47134009
2019-09-20,300.36,300.67,297.41,298.28,96939851,1.38362,1,300.36,300.67,297.41,298.28,96939851
