Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
9/6/2019,298.17,298.76,297.42,298.05,49510922,0,1,298.17,298.76,297.42,298.05,49510922
9/5/2019,296.79,298.83,294.001,297.75,83197295,0,1,296.79,298.83,294.001,297.75,83197295
9/4/2019,293.14,294.055,292.31,293.97,46813644,0,1,293.14,294.055,292.31,293.97,46813644
9/3/2019,290.57,291.58,289.27,290.75,69078772,0,1,290.57,291.58,289.27,290.75,69078772
8/30/2019,294.22,294.2399,291.42,292.4527,62831109,0,1,294.22,294.2399,291.42,292.4527,62831109
8/29/2019,291.72,293.16,290.61,292.58,57913188,0,1,291.72,293.16,290.61,292.58,57913188
8/28/2019,286.14,289.07,285.25,288.89,59852324,0,1,286.14,289.07,285.25,288.89,59852324
8/27/2019,289.54,289.95,286.03,286.87,68262998,0,1,289.54,289.95,286.03,286.87,68262998
8/26/2019,287.27,288,285.58,288,72478929,0,1,287.27,288,285.58,288,72478929
8/23/2019,290.92,292.76,283.47,284.85,149217157,0,1,290.92,292.76,283.47,284.85,149217157
8/22/2019,293.23,293.93,290.4,292.36,51698543,0,1,293.23,293.93,290.4,292.36,51698543
8/21/2019,292.48,292.86,291.72,292.45,49565853,0,1,292.48,292.86,291.72,292.45,49565853
8/20/2019,291.77,292.36,289.95,290.09,51614878,0,1,291.77,292.36,289.95,290.09,51614878
8/19/2019,292.19,293.08,291.44,292.33,53583732,0,1,292.19,293.08,291.44,292.33,53583732
8/16/2019,286.48,289.33,284.7138,288.85,85808933,0,1,286.48,289.33,284.7138,288.85,85808933
8/15/2019,284.88,285.64,282.39,284.65,101929845,0,1,284.88,285.64,282.39,284.65,101929845
8/14/2019,288.07,292.4644,283.76,283.9,135369567,0,1,288.07,292.4644,283.76,283.9,135369567
8/13/2019,287.74,294.15,287.36,292.55,94713738,0,1,287.74,294.15,287.36,292.55,94713738
8/12/2019,289.96,291.6052,287.02,288.12,75230899,0,1,289.96,291.6052,287.02,288.12,75230899
8/9/2019,292.58,293.24,289.65,291.62,93702071,0,1,292.58,293.24,289.65,291.62,93702071
8/8/2019,289.62,293.62,289.01,293.62,87460322,0,1,289.62,293.62,289.01,293.62,87460322
8/7/2019,284.4,288.82,282.04,287.97,140409925,0,1,284.4,288.82,282.04,287.97,140409925
8/6/2019,285.91,288.04,284.28,287.8,120521001,0,1,285.91,288.04,284.28,287.8,120521001
8/5/2019,288.09,288.21,281.72,283.82,177891127,0,1,288.09,288.21,281.72,283.82,177891127
8/2/2019,293.85,294.12,290.9,292.62,116724483,0,1,293.85,294.12,290.9,292.62,116724483
8/1/2019,297.6,300.87,293.96,294.84,142531739,0,1,297.6,300.87,293.96,294.84,142531739
7/31/2019,300.99,301.2,295.2,297.43,104245162,0,1,300.99,301.2,295.2,297.43,104245162
7/30/2019,299.91,301.17,299.49,300.72,45813578,0,1,299.91,301.17,299.49,300.72,45813578
7/29/2019,301.88,301.93,300.85,301.46,38091054,0,1,301.88,301.93,300.85,301.46,38091054
7/26/2019,300.76,302.23,300.62,302.01,45022816,0,1,300.76,302.23,300.62,302.01,45022816
7/25/2019,300.94,301,299.11,300,55378544,0,1,300.94,301,299.11,300,55378544
7/24/2019,299.19,301.44,299.09,301.44,47213232,0,1,299.19,301.44,299.09,301.44,47213232
7/23/2019,299.14,300.03,298.22,300.03,44601745,0,1,299.14,300.03,298.22,300.03,44601745
7/22/2019,297.61,298.5,297.04,297.9,43652365,0,1,297.61,298.5,297.04,297.9,43652365
7/19/2019,300.04,300.07,296.96,297.17,70991785,0,1,300.04,300.07,296.96,297.17,70991785
7/18/2019,297.19,299.25,296.7,298.83,51589195,0,1,297.19,299.25,296.7,298.83,51589195
7/17/2019,299.75,299.93,297.74,297.74,43952969,0,1,299.75,299.93,297.74,297.74,43952969
7/16/2019,300.65,300.88,299.44,299.71,40533990,0,1,300.65,300.88,299.44,299.71,40533990
7/15/2019,301.13,301.13,300.19,300.75,33910261,0,1,301.13,301.13,300.19,300.75,33910261
7/12/2019,299.85,300.73,299.51,300.65,40335336,0,1,299.85,300.73,299.51,300.65,40335336
7/11/2019,299.32,299.58,298.2,299.31,50832063,0,1,299.32,299.58,298.2,299.31,50832063
7/10/2019,298.37,299.66,297.78,298.61,58547783,0,1,298.37,299.66,297.78,298.61,58547783
7/9/2019,295.54,297.52,295.48,297.19,41068189,0,1,295.54,297.52,295.48,297.19,41068189
7/8/2019,297.01,298.2579,296.22,296.82,45841772,0,1,297.01,298.2579,296.22,296.82,45841772
7/5/2019,297.44,298.64,296.01,298.46,51657416,0,1,297.44,298.64,296.01,298.46,51657416
7/3/2019,297.18,298.82,297.02,298.8,40898896,0,1,297.18,298.82,297.02,298.8,40898896
7/2/2019,295.61,296.49,294.68,296.43,61504544,0,1,295.61,296.49,294.68,296.43,61504544
7/1/2019,296.68,296.92,294.33,295.66,78867575,0,1,296.68,296.92,294.33,295.66,78867575
6/28/2019,292.58,293.55,292.01,293,59255834,0,1,292.58,293.55,292.01,293,59255834
6/27/2019,291.31,292.06,290.89,291.5,40256887,0,1,291.31,292.06,290.89,291.5,40256887
6/26/2019,291.75,292.31,290.345,290.47,51584902,0,1,291.75,292.31,290.345,290.47,51584902
6/25/2019,293.7,293.73,290.64,290.76,81834041,0,1,293.7,293.73,290.64,290.76,81834041
6/24/2019,294.23,294.58,293.47,293.64,47562557,0,1,294.23,294.58,293.47,293.64,47562557
6/21/2019,294.13,295.52,293.76,294,83309466,1.4316,1,294.13,295.52,293.76,294,83309466
6/20/2019,296.04,296.3093,293.1255,295.86,116489283,0,1,294.6054518,294.8734468,291.7050749,294.4263241,116489283
6/19/2019,292.55,293.65,291.47,293.06,78519949,0,1,291.1323636,292.2270333,290.0575971,291.6398923,78519949
6/18/2019,291.39,293.57,290.99,292.4,85244302,0,1,289.9779848,292.1474209,289.5799231,290.9830905,85244302
6/17/2019,289.52,290.22,289.18,289.37,39142877,0,1,288.1170464,288.8136543,287.778694,287.9677733,39142877
6/14/2019,289.26,289.93,288.41,289.26,52324716,0,1,287.8583063,288.5250596,287.0124252,287.8583063,52324716
6/13/2019,289.4,289.98,288.62,289.58,48894632,0,1,287.9976279,288.5748173,287.2214076,288.1767556,48894632
6/12/2019,288.64,289.26,287.815,288.39,47058443,0,1,287.2413107,287.8583063,286.4203085,286.9925221,47058443
6/11/2019,290.99,291.4,288.1805,288.9,58601045,0,1,289.5799231,289.9879363,286.7840373,287.5000508,58601045
6/10/2019,289.37,290.82,288.8734,288.97,60723460,0,1,287.9677733,289.4107469,287.4735797,287.5697116,60723460
6/7/2019,285.93,288.85,285.74,287.65,74234655,0,1,284.5444428,287.4502931,284.3553635,286.256108,74234655
6/6/2019,283.29,285.55,282.57,284.8,69370887,0,1,281.9172357,284.1662842,281.2007246,283.4199185,69370887
6/5/2019,282.33,282.99,280.32,282.96,71169717,0,1,280.9618876,281.6186894,278.9616277,281.5888348,71169717
6/4/2019,277.12,280.68,276.62,280.53,77124332,0,1,275.7771342,279.3198832,275.2795571,279.17061,77124332
6/3/2019,275.31,276.5521,273.09,274.57,96299769,0,1,273.9759051,275.2119861,271.7666627,273.239491,96299769
5/31/2019,276.2,277.12,275.24,275.27,86758995,0,1,274.8615923,275.7771342,273.9062443,273.9360989,86758995
5/30/2019,279.11,280.04,277.805,279.03,61259925,0,1,277.7574911,278.6829845,276.4588148,277.6778787,61259925
5/29/2019,278.91,279.36,276.71,278.27,104972927,0,1,277.5584602,278.0062796,275.369121,276.9215615,104972927
5/28/2019,283.09,284.15,280.13,280.15,70029356,0,1,281.7182048,282.7730683,278.7725484,278.7924515,70029356
5/24/2019,283.74,284.2,282.09,282.78,55268095,0,1,282.3650551,282.822826,280.7230506,281.409707,55268095
5/23/2019,283.16,283.21,280.57,282.14,98662584,0,1,281.7878656,281.8376233,279.2104162,280.7728083,98662584
5/22/2019,285.45,286.69,285.1,285.63,49415848,0,1,284.0667688,285.30076,283.7184648,284.2458965,49415848
5/21/2019,285.83,286.93,285.55,286.51,46847085,0,1,284.4449274,285.539597,284.1662842,285.1216322,46847085
5/20/2019,284.06,285.43,283.12,283.95,62775223,0,1,282.6835044,284.0468657,281.7480594,282.5740374,62775223
5/17/2019,285.14,288.6,285.1207,285.84,100353024,0,1,283.758271,287.2015045,283.7390645,284.4548789,100353024
5/16/2019,285.84,289.21,285.76,287.7,76684778,0,1,284.4548789,287.8085486,284.3752666,286.3058657,76684778
5/15/2019,281.59,285.77,281.36,285.06,73861158,0,1,280.2254735,284.3852181,279.996588,283.6786586,73861158
5/14/2019,281.99,285.1,281.85,283.4,76954311,0,1,280.6235352,283.7184648,280.4842136,282.0267026,76954311
5/13/2019,282.42,283.49,279.93,280.86,127290527,0,1,281.0514515,282.1162665,278.5735175,279.4990109,127290527
5/10/2019,285.62,288.94,282.3,288.1,112380054,0,1,284.235945,287.5398569,280.932033,286.7039274,112380054
5/9/2019,285.23,287.33,283.3,286.66,103471104,0,1,283.8478348,285.9376587,281.9271872,285.2709053,103471104
5/8/2019,287.53,289.43,286.87,287.53,91512947,0,1,286.1366895,288.0274825,285.4798877,286.1366895,91512947
5/7/2019,290.15,290.81,285.81,287.93,144563154,0,1,288.7439935,289.4007953,284.4250243,286.5347512,144563154
5/6/2019,289.25,293.31,288.9,292.82,107198069,0,1,287.8483547,291.8886808,287.5000508,291.4010553,107198069
5/3/2019,292.82,294.34,291.2998,294.03,56516723,0,1,291.4010553,292.9136897,289.8882218,292.6051919,56516723
5/2/2019,291.68,292.7,289.52,291.18,65030170,0,1,290.2665795,291.2816368,288.1170464,289.7690024,65030170
5/1/2019,294.72,294.95,291.8,291.81,71671870,0,1,293.2918483,293.5207337,290.385998,290.3959495,71671870
4/30/2019,293.49,294.34,291.92,294.02,81111733,0,1,292.0678086,292.9136897,290.5054165,292.5952403,81111733
4/29/2019,293.51,294.45,293.41,293.87,57197747,0,1,292.0877117,293.0231566,291.9881963,292.4459672,57197747
4/26/2019,292.1,293.49,291.2401,293.41,50916423,0,1,290.6845442,292.0678086,289.8288111,291.9881963,50916423
4/25/2019,292.12,292.78,290.73,292.05,57770862,0,1,290.7044473,291.3612491,289.321183,290.6347865,57770862
4/24/2019,292.79,293.16,292.07,292.23,50358501,0,1,291.3712006,291.7394077,290.6546896,290.8139143,50358501
4/23/2019,290.68,293.14,290.42,292.88,52189887,0,1,289.2714253,291.7195046,289.0126852,291.4607645,52189887
4/22/2019,289.17,290.435,289.07,290.27,40160140,0,1,287.7687424,289.0276125,287.669227,288.863412,40160140
4/18/2019,290.1,290.32,288.66,290.02,68708513,0,1,288.6942358,288.9131697,287.2612138,288.6146235,68708513
4/17/2019,291.4,291.425,288.99,289.45,58145586,0,1,289.9879363,290.0128151,287.5896147,288.0473856,58145586
4/16/2019,290.95,291.01,289.5,290.16,52127286,0,1,289.5401169,289.5998262,288.0971433,288.7539451,52127286
4/15/2019,290.24,290.35,289.075,289.97,49578052,0,1,288.8335574,288.9430244,287.6742028,288.5648658,49578052
4/12/2019,290,290.47,288.261,290.16,69701774,0,1,288.5947204,289.0624429,286.8641472,288.7539451,69701774
4/11/2019,288.83,288.84,287.578,288.21,55045415,0,1,287.43039,287.4403415,286.1844569,286.8133944,55045415
4/10/2019,287.77,288.3899,287.31,288.29,52601499,0,1,286.3755265,286.9924226,285.9177556,286.8930067,52601499
4/9/2019,287.72,288.08,286.7,287.31,66113303,0,1,286.3257688,286.6840243,285.3107115,285.9177556,66113303
4/8/2019,288.1,288.91,287.37,288.79,53524986,0,1,286.7039274,287.5100023,285.9774648,287.3905838,53524986
4/5/2019,287.92,288.63,287.6,288.57,58559409,0,1,286.5247996,287.2313591,286.2063503,287.1716499,58559409
4/4/2019,286.78,287.459,286.01,287.18,48960844,0,1,285.3903239,286.0660336,284.6240551,285.7883855,48960844
4/3/2019,287.32,287.76,285.75,286.42,68183165,0,1,285.9277071,286.365575,284.365315,285.0320683,68183165
4/2/2019,286.04,286.23,285.09,285.97,40021425,0,1,284.6539097,284.842989,283.7085132,284.5842489,40021425
4/1/2019,284.7,286.16,284.4,285.83,77617945,0,1,283.3204031,284.7733282,283.0218568,284.4449274,77617945
3/29/2019,282.39,282.84,281.14,282.48,82160899,0,1,281.0215969,281.4694163,279.7776541,281.1111608,82160899
3/28/2019,280.35,281.21,279.07,280.71,56107818,0,1,278.9914823,279.8473149,277.7176849,279.3497378,56107818
3/27/2019,281.11,281.76,277.93,279.65,72174824,0,1,279.7477995,280.3946497,276.5832091,278.2948743,72174824
3/26/2019,280.99,282.18,279.56,281.12,68047406,0,1,279.628381,280.8126145,278.2053105,279.757751,68047406
3/25/2019,278.87,280.1853,277.64,279.04,85312509,0,1,277.5186541,278.8275804,276.2946144,277.6878303,85312509
3/22/2019,283.22,283.8034,279.18,279.25,122584329,0,1,281.8475749,282.4281478,277.8271519,277.8968127,122584329
3/21/2019,280.64,285.18,280.59,284.73,79503084,0,1,279.280077,283.7980771,279.2303193,283.3502577,79503084
3/20/2019,282.16,283.5,280.32,281.55,84516510,0,1,280.7927114,282.126218,278.9616277,280.1856673,84516510
3/19/2019,283.51,284.36,281.41,282.4,90220528,0,1,282.1361696,282.9820507,280.0463458,281.0315484,90220528
3/18/2019,281.55,282.66,281.3,282.33,62152857,0,1,280.1856673,281.2902885,279.9368788,280.9618876,62152857
3/15/2019,280.54,282.21,280.33,281.31,81308979,1.2331,1,279.1805616,280.8424691,278.9715792,279.9468303,81308979
3/14/2019,281.37,281.84,280.6662,281.16,67474399,0,1,278.7845099,279.2501911,278.087177,278.5764395,67474399
3/13/2019,280.48,282.38,280.3,281.34,80520845,0,1,277.902688,279.785229,277.724342,278.7547855,80520845
3/12/2019,279.06,280.07,278.85,279.49,79591019,0,1,276.4957363,277.4964555,276.287666,276.9217851,79591019
3/11/2019,275.26,278.62,275.23,278.44,64925449,0,1,272.7306543,276.0597794,272.7009299,275.8814334,64925449
3/8/2019,272.94,274.65,272.42,274.46,85759227,0,1,270.4319726,272.1262595,269.9167508,271.9380054,85759227
3/7/2019,276.83,276.99,274.07,275.01,94728372,0,1,274.2862276,274.4447574,271.5515891,272.4829515,94728372
3/6/2019,279.15,279.16,276.97,277.33,75039771,0,1,276.5849093,276.5948174,274.4249412,274.7816332,75039771
3/5/2019,279.54,279.76,278.41,279.02,59114559,0,1,276.9713256,277.1893041,275.8517091,276.4561039,59114559
3/4/2019,281.6,281.87,276.84,279.4,106400309,0,1,279.0123964,279.2799154,274.2961357,276.8326121,106400309
3/1/2019,280.44,280.88,278.82,280.42,77748145,0,1,277.8630556,278.2990124,276.2579416,277.8432394,77748145
2/28/2019,278.96,279.45,278.32,278.68,69199600,0,1,276.3966552,276.8821526,275.7625361,276.1192281,69199600
2/27/2019,278.52,279.59,277.48,279.2,56820264,0,1,275.9606983,277.0208662,274.9302548,276.6344499,56820264
2/26/2019,279.13,280.3,278.9,279.32,56778902,0,1,276.5650931,277.724342,276.3372065,276.7533472,56778902
2/25/2019,280.73,281.31,279.43,279.52,69030699,0,1,278.1503908,278.7250612,276.8623364,276.9515094,69030699
2/22/2019,278.11,279.36,277.4029,279.14,78086268,0,1,275.5544658,276.7929796,274.8538633,276.5750012,78086268
2/21/2019,277.7,278.1,276.345,277.42,64214727,0,1,275.1482333,275.5445577,273.8056843,274.8708062,64214727
2/20/2019,277.81,278.92,277.25,278.41,76610767,0,1,275.2572225,276.3570228,274.7023683,275.8517091,76610767
2/19/2019,276.4813,278.58,276.47,277.85,59120804,0,1,273.9407318,276.020147,273.9295356,275.2968549,59120804
2/15/2019,276.36,277.41,276.13,277.37,96950082,0,1,273.8205464,274.860898,273.5926599,274.8212656,96950082
2/14/2019,273.78,275.64,272.87,274.38,83057129,0,1,271.2642539,273.1071625,270.3626158,271.8587405,83057129
2/13/2019,275.03,275.93,274.56,274.99,65155977,0,1,272.5027677,273.3944977,272.0370865,272.4631353,65155977
2/12/2019,272.42,274.52,272.34,274.1,72060303,0,1,269.9167508,271.9974541,269.8374859,271.5813134,72060303
2/11/2019,271.2,271.49,270.03,270.62,68021423,0,1,268.7079613,268.9952965,267.5487124,268.1332909,68021423
2/8/2019,268.75,270.58,267.83,270.47,75769705,0,1,266.2804742,268.0936585,265.368928,267.9846692,75769705
2/7/2019,270.94,271.55,268.29,270.14,95300784,0,1,268.4503504,269.0547452,265.8247011,267.6577016,95300784
2/6/2019,272.79,273.34,271.92,272.74,58289937,0,1,270.2833509,270.828297,269.4213453,270.2338104,58289937
2/5/2019,272.44,273.44,271.88,273.1,79514212,0,1,269.936567,270.9273781,269.3817128,270.5905023,79514212
2/4/2019,270.11,272.03,269.36,271.96,60688331,0,1,267.6279773,269.5303345,266.884869,269.4609777,60688331
2/1/2019,270.15,271.2,269.18,270.06,85754736,0,1,267.6676097,268.7079613,266.706523,267.5784367,85754736
1/31/2019,267.51,270.47,267.27,269.93,104012073,0,1,265.0518685,267.9846692,264.8140738,267.4496313,104012073
